LR,cell_type_pair,number_of_patient
ADAM17->ITGB1,CAF->CAF,10
ADAM17->ITGB1,CAF->DC,8
ADAM17->ITGB1,CAF->EMT,3
ADAM17->ITGB1,CAF->Endo,7
ADAM17->ITGB1,CAF->ETC,10
ADAM17->ITGB1,CAF->TAM,8
ADAM17->ITGB1,CAF->TIL,7
ADAM17->ITGB1,DC->CAF,7
ADAM17->ITGB1,DC->DC,7
ADAM17->ITGB1,DC->Endo,5
ADAM17->ITGB1,DC->ETC,7
ADAM17->ITGB1,DC->TAM,7
ADAM17->ITGB1,DC->TIL,5
ADAM17->ITGB1,EMT->CAF,3
ADAM17->ITGB1,EMT->DC,1
ADAM17->ITGB1,EMT->EMT,3
ADAM17->ITGB1,EMT->Endo,2
ADAM17->ITGB1,EMT->ETC,3
ADAM17->ITGB1,EMT->TAM,1
ADAM17->ITGB1,EMT->TIL,2
ADAM17->ITGB1,Endo->CAF,7
ADAM17->ITGB1,Endo->DC,6
ADAM17->ITGB1,Endo->EMT,2
ADAM17->ITGB1,Endo->Endo,7
ADAM17->ITGB1,Endo->ETC,7
ADAM17->ITGB1,Endo->TAM,6
ADAM17->ITGB1,Endo->TIL,5
ADAM17->ITGB1,ETC->CAF,10
ADAM17->ITGB1,ETC->DC,8
ADAM17->ITGB1,ETC->EMT,3
ADAM17->ITGB1,ETC->Endo,7
ADAM17->ITGB1,ETC->ETC,10
ADAM17->ITGB1,ETC->TAM,8
ADAM17->ITGB1,ETC->TIL,7
ADAM17->ITGB1,TAM->CAF,9
ADAM17->ITGB1,TAM->DC,8
ADAM17->ITGB1,TAM->EMT,2
ADAM17->ITGB1,TAM->Endo,7
ADAM17->ITGB1,TAM->ETC,9
ADAM17->ITGB1,TAM->TAM,8
ADAM17->ITGB1,TAM->TIL,7
ADAM17->ITGB1,TIL->CAF,5
ADAM17->ITGB1,TIL->DC,4
ADAM17->ITGB1,TIL->EMT,1
ADAM17->ITGB1,TIL->Endo,3
ADAM17->ITGB1,TIL->ETC,5
ADAM17->ITGB1,TIL->TAM,5
ADAM17->ITGB1,TIL->TIL,4
ADAM9->ITGA3,CAF->CAF,9
ADAM9->ITGA3,CAF->DC,5
ADAM9->ITGA3,CAF->EMT,3
ADAM9->ITGA3,CAF->Endo,6
ADAM9->ITGA3,CAF->ETC,10
ADAM9->ITGA3,CAF->TAM,4
ADAM9->ITGA3,CAF->TIL,2
ADAM9->ITGA3,DC->CAF,6
ADAM9->ITGA3,DC->DC,5
ADAM9->ITGA3,DC->Endo,5
ADAM9->ITGA3,DC->ETC,7
ADAM9->ITGA3,DC->TAM,3
ADAM9->ITGA3,DC->TIL,1
ADAM9->ITGA3,EMT->CAF,3
ADAM9->ITGA3,EMT->EMT,3
ADAM9->ITGA3,EMT->Endo,1
ADAM9->ITGA3,EMT->ETC,3
ADAM9->ITGA3,EMT->TAM,1
ADAM9->ITGA3,EMT->TIL,1
ADAM9->ITGA3,Endo->CAF,7
ADAM9->ITGA3,Endo->DC,3
ADAM9->ITGA3,Endo->EMT,2
ADAM9->ITGA3,Endo->Endo,6
ADAM9->ITGA3,Endo->ETC,7
ADAM9->ITGA3,Endo->TAM,4
ADAM9->ITGA3,Endo->TIL,2
ADAM9->ITGA3,ETC->CAF,9
ADAM9->ITGA3,ETC->DC,5
ADAM9->ITGA3,ETC->EMT,3
ADAM9->ITGA3,ETC->Endo,6
ADAM9->ITGA3,ETC->ETC,10
ADAM9->ITGA3,ETC->TAM,4
ADAM9->ITGA3,ETC->TIL,2
ADAM9->ITGA3,TAM->CAF,7
ADAM9->ITGA3,TAM->DC,5
ADAM9->ITGA3,TAM->EMT,1
ADAM9->ITGA3,TAM->Endo,6
ADAM9->ITGA3,TAM->ETC,8
ADAM9->ITGA3,TAM->TAM,4
ADAM9->ITGA3,TAM->TIL,2
ADAM9->ITGA3,TIL->CAF,3
ADAM9->ITGA3,TIL->DC,1
ADAM9->ITGA3,TIL->EMT,1
ADAM9->ITGA3,TIL->Endo,3
ADAM9->ITGA3,TIL->ETC,3
ADAM9->ITGA3,TIL->TAM,2
ADAM9->ITGA3,TIL->TIL,2
ADAM9->ITGB1,CAF->CAF,10
ADAM9->ITGB1,CAF->DC,8
ADAM9->ITGB1,CAF->EMT,3
ADAM9->ITGB1,CAF->Endo,7
ADAM9->ITGB1,CAF->ETC,10
ADAM9->ITGB1,CAF->TAM,8
ADAM9->ITGB1,CAF->TIL,7
ADAM9->ITGB1,DC->CAF,7
ADAM9->ITGB1,DC->DC,7
ADAM9->ITGB1,DC->Endo,5
ADAM9->ITGB1,DC->ETC,7
ADAM9->ITGB1,DC->TAM,7
ADAM9->ITGB1,DC->TIL,5
ADAM9->ITGB1,EMT->CAF,3
ADAM9->ITGB1,EMT->DC,1
ADAM9->ITGB1,EMT->EMT,3
ADAM9->ITGB1,EMT->Endo,2
ADAM9->ITGB1,EMT->ETC,3
ADAM9->ITGB1,EMT->TAM,1
ADAM9->ITGB1,EMT->TIL,2
ADAM9->ITGB1,Endo->CAF,7
ADAM9->ITGB1,Endo->DC,6
ADAM9->ITGB1,Endo->EMT,2
ADAM9->ITGB1,Endo->Endo,7
ADAM9->ITGB1,Endo->ETC,7
ADAM9->ITGB1,Endo->TAM,6
ADAM9->ITGB1,Endo->TIL,5
ADAM9->ITGB1,ETC->CAF,10
ADAM9->ITGB1,ETC->DC,8
ADAM9->ITGB1,ETC->EMT,3
ADAM9->ITGB1,ETC->Endo,7
ADAM9->ITGB1,ETC->ETC,10
ADAM9->ITGB1,ETC->TAM,8
ADAM9->ITGB1,ETC->TIL,7
ADAM9->ITGB1,TAM->CAF,8
ADAM9->ITGB1,TAM->DC,7
ADAM9->ITGB1,TAM->EMT,1
ADAM9->ITGB1,TAM->Endo,6
ADAM9->ITGB1,TAM->ETC,8
ADAM9->ITGB1,TAM->TAM,8
ADAM9->ITGB1,TAM->TIL,6
ADAM9->ITGB1,TIL->CAF,3
ADAM9->ITGB1,TIL->DC,2
ADAM9->ITGB1,TIL->EMT,1
ADAM9->ITGB1,TIL->Endo,3
ADAM9->ITGB1,TIL->ETC,3
ADAM9->ITGB1,TIL->TAM,3
ADAM9->ITGB1,TIL->TIL,3
ADM->CALCR,CAF->CAF,1
ADM->CALCR,CAF->DC,1
ADM->CALCR,CAF->ETC,2
ADM->CALCR,CAF->TAM,3
ADM->CALCR,DC->CAF,1
ADM->CALCR,DC->DC,1
ADM->CALCR,DC->ETC,2
ADM->CALCR,DC->TAM,2
ADM->CALCR,Endo->DC,1
ADM->CALCR,Endo->ETC,1
ADM->CALCR,Endo->TAM,2
ADM->CALCR,ETC->CAF,1
ADM->CALCR,ETC->DC,1
ADM->CALCR,ETC->ETC,2
ADM->CALCR,ETC->TAM,3
