lr_pair,pval_CA,median_day_high_CA,median_day_low_CA,diff_day_CA
CCL16->CCR5,8.75E-05,632,437,195
WNT3A->RYK,1.52E-04,371,668,-297
IL18->IL18R1,1.69E-04,389,709.5,-320.5
TNFSF15->TNFRSF6B,1.86E-04,627,377,250
GZMB->CHRM3,2.23E-04,631,449.5,181.5
WNT1->RYK,2.74E-04,371,658,-287
NMB->NMBR,4.63E-04,437,630.5,-193.5
WNT3->RYK,4.69E-04,371,658,-287
SEMA4B->DCBLD2,5.83E-04,383,643,-260
CXCL2->CXCR2,5.87E-04,681,413,268
WNT5A->RYK,6.31E-04,437,673,-236
AGT->AGTR1,6.50E-04,681,361,320
RSPO4->LGR5,7.84E-04,730,416.5,313.5
VEGFA->KDR,8.03E-04,369,618,-249
NMB->GRPR,8.45E-04,437,643,-206
NMB->BRS3,0.001003537,437,627.5,-190.5
VEGFA->FLT1,0.00114417,369,618,-249
CCL3L1->CCR5,0.001224338,627,440.5,186.5
CCL4L1->CCR5,0.001224338,627,440.5,186.5
ICOSLG->CTLA4,0.00125038,626,389,237
AGT->AGTR2,0.001252391,681,372,309
AGT->MAS1,0.001252391,681,372,309
RSPO1->LGR5,0.001343889,730,386,344
RSPO2->LGR5,0.001343889,730,386,344
RSPO3->LGR5,0.001343889,730,389,341
WNT7B->FZD10,0.001345947,437,629.5,-192.5
VEGFA->GPC1,0.001660391,371,589.5,-218.5
CCL14->CCR5,0.001938375,626,437,189
DKK1->LRP5,0.002087418,653,437,216
AGT->LRP2,0.002234907,677,369,308
SHH->SMO,0.002378125,633,440.5,192.5
SHH->BOC,0.002412951,625,440.5,184.5
TGM2->ITGB3,0.002441845,456,642,-186
SEMA3A->PLXNA4,0.002490636,437,632,-195
MELTF->PLG,0.002518027,371,643,-272
FGF9->FGFR4,0.00272344,633,381,252
CXCL2->CXCR1,0.003151769,653,437,216
CXCL2->XCR1,0.003151769,653,437,216
IL18->IL18RAP,0.003477338,437,682.5,-245.5
IL18->IL1RAPL1,0.003527401,437,682.5,-245.5
LAMC2->ITGA6,0.003698895,437,589.5,-152.5
BMP6->ACVR1,0.003700323,628,463.5,164.5
GDF5->ACVR1,0.003753142,628,463.5,164.5
AGRP->MC3R,0.003757328,673,455.5,217.5
FBN1->ITGB1,0.00381012,389,629.5,-240.5
GDF1->ACVR1,0.003861274,630.5,471,159.5
GDF2->ACVR1,0.003861274,630.5,471,159.5
ADAM9->ITGB5,0.004047456,375,678.5,-303.5
CCN2->LRP1,0.004103717,631,455.5,175.5
IL24->IL20RB,0.004345924,444,629.5,-185.5
AVP->OXTR,0.004584704,444,687,-243
FGF19->FGFR4,0.004747593,631,386,245
IL12A->IL12RB1,0.004793955,633,413,220
WNT9B->FZD8,0.00484506,633,413,220
WNT3->FZD8,0.005137591,627,384,243
PROS1->AXL,0.005169131,444,672,-228
ADAM17->ITGA5,0.005509615,389,630.5,-241.5
APOE->LRP1,0.005831521,631,456,175
ICOSLG->CD28,0.005986329,629,437,192
CNTF->IL6R,0.006009321,663,440.5,222.5
ZG16B->CXCR4,0.006275976,608,365,243
IL19->IL20RB,0.006476142,456,629.5,-173.5
WNT7B->LRP5,0.006518147,631,440.5,190.5
THBS1->ITGA3,0.006963048,446,643,-197
TGM2->SDC4,0.007235468,456,639,-183
DKK2->LRP5,0.007443699,631,440.5,190.5
CHAD->ITGA2,0.007723424,383,658,-275
COL2A1->ITGA2,0.007723424,383,658,-275
CCL17->CCR4,0.008070899,608,456,152
LAMC2->ITGB1,0.008104501,446,629,-183
ADM->RAMP2,0.008198099,437,627.5,-190.5
ADM->RAMP3,0.008198099,437,627.5,-190.5
ADAM9->ITGA3,0.008369319,383,658,-275
LRPAP1->SORT1,0.008376825,631,386,245
MDK->LRP1,0.00845795,633,456,177
CXCL12->ITGA5,0.008665818,444,626,-182
CLCF1->CNTFR,0.009294139,437,677,-240
IL1A->IL1RAP,0.009352544,375,625,-250
CCL7->CCR5,0.009595396,625,459.5,165.5
LAMC2->ITGA3,0.009621068,444,632,-188
FGF20->FGFR4,0.00964886,631,386,245
SHH->PTCH1,0.009737448,633,440.5,192.5
FGF18->FGFR4,0.009763185,631,386,245
SERPING1->LRP1,0.009869074,633,455.5,177.5
AMH->ACVR1,0.010011564,592,463.5,128.5
CORT->SSTR1,0.010191138,627,450.5,176.5
COL8A1->ITGA2,0.010241767,444,642,-198
SEMA3C->NRP2,0.010370596,444,658,-214
IL12B->IL12RB1,0.010596693,627,437,190
SLAMF6->SLAMF6,0.010916956,627,413,214
IL20->IL20RB,0.010918922,444,629.5,-185.5
IL26->IL20RB,0.010918922,444,629.5,-185.5
DKK2->KREMEN1,0.011037213,608,456,152
CD9->L1CAM,0.011071535,437,628,-191
L1CAM->CD9,0.011071535,437,628,-191
GDF3->TDGF1,0.011097935,628,450.5,177.5
ANGPTL3->ITGA5,0.01131516,444,626,-182
FGF19->FGFR2,0.011317161,684,413,271
WNT8A->FZD8,0.011391209,608,437,171
CCN1->ITGB2,0.01139231,456,632,-176
TIMP2->ITGA3,0.011979316,400,629,-229
FGF9->FGFR3,0.012066897,631,450.5,180.5
SOST->LRP5,0.01213329,631,440.5,190.5
WNT16->LRP5,0.01213329,631,440.5,190.5
SHH->PTCH2,0.012167906,633,450.5,182.5
FGF16->FGFR4,0.012390745,631,386,245
FGF17->FGFR4,0.012390745,631,386,245
FGF21->FGFR4,0.012390745,631,386,245
FGF23->FGFR4,0.012390745,631,386,245
FGF3->FGFR4,0.012390745,631,386,245
FGF4->FGFR4,0.012390745,631,386,245
FGF5->FGFR4,0.012390745,631,386,245
FGF6->FGFR4,0.012390745,631,386,245
FGF8->FGFR4,0.012390745,631,386,245
C4BPA->LRP1,0.012399332,631,456,175
LIPC->LRP1,0.012399332,631,456,175
PDGFB->LRP1,0.012399332,631,456,175
HBEGF->CD9,0.012422795,455,629,-174
FGF2->FGFR4,0.012471446,627,416.5,210.5
DSC3->DSG4,0.01258146,456,642,-186
SLURP1->CHRNA7,0.012657027,690,437,253
ST6GAL1->CD22,0.013136551,663,449.5,213.5
CCN2->FGFR2,0.013247169,627,437,190
DKK4->KREMEN1,0.013370203,653,456,197
FGF1->FGFR4,0.013569785,631,386,245
