lr_pair,pval_US,median_day_low_US,median_day_high_US,diff_day_US
ICOSLG->CTLA4,1.76E-04,165.5,216,50.5
ICAM4->ITGAL,2.29E-04,185.5,181,-4.5
ICOSLG->CD28,2.53E-04,181,216,35
SHH->SMO,2.82E-04,159.5,197,37.5
CSF2->CSF2RB,3.80E-04,182,188,6
TNFSF13->TNFRSF17,5.33E-04,153,334,181
ICAM5->ITGAL,5.87E-04,185.5,181,-4.5
ICOS->ICOSLG,6.47E-04,165.5,216,50.5
ICOSLG->ICOS,6.47E-04,165.5,216,50.5
NXPH3->NRXN2,6.67E-04,156.5,202,45.5
TNFSF13->TNFRSF13B,6.85E-04,154,329,175
ALKAL1->LTK,7.13E-04,181,195.5,14.5
ALKAL2->LTK,7.13E-04,181,195.5,14.5
GDNF->GFRA2,8.83E-04,195.5,164,-31.5
QRFP->P2RY14,0.001262571,182,194,12
CCL22->ACKR2,0.001588508,188.5,181,-7.5
IL20->IL20RB,0.001692796,164,194,30
IL26->IL20RB,0.001692796,164,194,30
TNFSF13->FAS,0.00179474,162.5,247,84.5
DHH->PTCH2,0.00195644,182,194,12
DKK4->KREMEN2,0.0019865,162.5,247,84.5
GHRL->GHSR,0.002004713,181,219,38
IL3->CSF2RB,0.002030724,188.5,179,-9.5
IL5->CSF2RB,0.002030724,188.5,179,-9.5
GRN->TNFRSF1B,0.002126488,158,202,44
IL19->IL20RB,0.002204964,165.5,194,28.5
CORT->SSTR5,0.002307434,180,194,14
IL24->IL20RB,0.002342005,173,188,15
CCL21->CCR7,0.002480475,182,194,12
TNFSF13->TNFRSF14,0.002504928,172.5,239,66.5
ANGPT1->TIE1,0.002745744,181,194,13
RELN->LRP8,0.002759938,195.5,181,-14.5
MMRN2->CLEC14A,0.002874233,172.5,216,43.5
CCL26->CCR2,0.00290923,182,194,12
CCL16->CCR2,0.003140802,191,181,-10
DEFB103B->CCR2,0.003140802,191,181,-10
DEFB106A->CCR2,0.003140802,191,181,-10
CXCL16->CXCR6,0.003141629,162.5,247,84.5
CD34->SELP,0.003178844,191,179,-12
SEMA6B->PLXNA2,0.003201635,202,179,-23
LAMA1->ITGA7,0.003211711,181,188,7
CSF2->CSF2RA,0.003297268,181,194,13
GDF3->TDGF1,0.003437376,185.5,181,-4.5
DSC3->DSG3,0.003440954,203.5,181,-22.5
CCL16->CCR5,0.003474069,192.5,181,-11.5
CCL4L1->CCR5,0.003474069,192.5,181,-11.5
IL16->CD4,0.003565984,185.5,181,-4.5
WNT3A->FZD8,0.003636483,174,188,14
ICAM3->ITGAL,0.003688403,181,194,13
DHH->PTCH1,0.004055865,180,194,14
CSF2->CSF3R,0.004105776,188.5,181,-7.5
PNOC->OPRL1,0.004448694,184.5,183,-1.5
GHRL->MLNR,0.004645545,181,217.5,36.5
APLN->APLNR,0.004870005,191,181,-10
SHH->BOC,0.004876828,182,194,12
NPY->NPFFR2,0.004877229,187.5,183,-4.5
CSF3->CSF3R,0.004913236,194,181,-13
ANGPTL1->TEK,0.005276881,182,194,12
FGF7->FGFR2,0.005323952,191,181,-10
NMS->NMUR1,0.005507418,199.5,161,-38.5
SELPLG->SIGLEC5,0.005526437,164,202,38
DLL4->NOTCH4,0.005628614,187.5,183,-4.5
CCL21->CXCR3,0.005750461,182,194,12
IHH->PTCH2,0.005767338,162.5,240,77.5
SEMA4B->DCBLD2,0.005879323,231,181,-50
CCL21->ACKR2,0.005910143,185.5,181,-4.5
CCL21->ACKR4,0.005910143,185.5,181,-4.5
CCL21->CCR10,0.005910143,185.5,181,-4.5
NTN1->NEO1,0.005921319,159,248,89
IL12B->IL23R,0.005957368,181,194,13
DLL3->NOTCH1,0.006051962,184.5,183,-1.5
MUC7->SELL,0.006341264,174,197,23
SHH->PTCH2,0.006406631,182,194,12
CSF2->IL3RA,0.006461396,181,188,7
DEFB103A->CCR6,0.006479741,181,202,21
DEFB103B->CCR6,0.006479741,181,202,21
DEFB4A->CCR6,0.006479741,181,202,21
DEFB4B->CCR6,0.006479741,181,202,21
SEMA3C->NRP1,0.006657002,236,179,-57
SEMA4A->LILRB2,0.006700939,185.5,181,-4.5
THPO->MPL,0.006710075,165.5,219,53.5
NXPH2->NRXN1,0.006908716,181,194,13
