Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,ANGPTL2,LILRB2,TAM,0.4181818181818182,0.6287622927275549,0.4524995016497579,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.28523404041607203,0.2753823648800976
Endo,DLL4,NOTCH2,TAM,0.3818181818181818,0.5645758804424634,0.924521498691873,0.239460370994941,0.3953529297161988,0.2284026055711222,0.2232067283800303,0.2111631192077426
Endo,JAG2,NOTCH2,TAM,0.3454545454545455,0.5283246669732651,0.6529688522598157,0.239460370994941,0.3953529297161988,0.2284026055711222,0.2088747049292154,0.149139787212927
Endo,JAM2,F11R,TAM,0.4,0.6455599584822742,0.7171248305000768,0.2057335581787521,0.3382833622558098,0.2027322508799597,0.2183821932931047,0.1453843310491901
Endo,HLA-F,LILRB1,TAM,0.5818181818181818,0.8723579295830547,0.1693750104798294,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.4190667117503658,0.132478507378429
Endo,BGN,TLR4,TAM,0.4727272727272727,0.7549635881934197,0.228291449266,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.2527858804636309,0.1226536516120915
Endo,HLA-C,LILRB1,TAM,1.0,1.6557050581179666,0.1396461665115352,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7953740670020301,0.1092257685957214
Endo,HLA-B,LILRB1,TAM,0.9818181818181818,1.616982038898087,0.1385549218573878,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7767721516835354,0.1083722397158908
Endo,HLA-A,LILRB1,TAM,1.0,1.6557050581179666,0.137538782144786,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7953740670020301,0.1075774549832903
Endo,HLA-F,LILRB2,TAM,0.5818181818181818,0.8723579295830547,0.1693750104798294,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.3957396615890757,0.1030783255395253
Endo,B2M,LILRB1,TAM,1.0,1.6557050581179666,0.1307074065094371,0.2984822934232715,0.4803839084155051,0.7821608807764805,0.7953740670020301,0.1022342201994308
Endo,DCN,TLR4,TAM,0.4181818181818182,0.6168701352123102,0.1644398636076778,0.2006745362563238,0.3348318838376452,0.5372678302514005,0.2065477894563207,0.0883482487273333
Endo,HLA-C,LILRB2,TAM,1.0,1.6557050581179666,0.1396461665115352,0.2698145025295109,0.4536436801557135,0.6085804821355318,0.751100135817064,0.08498593134396888
