Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,LAMA2,DAG1,ETC,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.4339443742098609,0.6195990852425176,0.4423706986881448,0.2214228518698436,0.3895708079228364
CAF,SLIT2,SDC1,ETC,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.5376106194690266,0.7948676947128406,0.4064503283850938,0.3486078910012504,0.3133580006205837
CAF,SFRP2,FZD5,ETC,0.8819345661450925,1.613032079068321,0.4515226108209749,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.574813812294285,0.2821171637300576
CAF,CTHRC1,FZD5,ETC,0.8477951635846372,1.536164299236556,0.4404350718057362,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.5474215104665274,0.2751895260331588
CAF,SLIT2,GPC1,ETC,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.138440696869364,0.2114182295866663
CAF,GPC3,IGF1R,ETC,0.2638691322901849,0.4419388173154877,0.6934906527655721,0.2041719342604298,0.2873160819276567,0.287333671722445,0.1269761294428284,0.19926321556432694
CAF,SLIT2,APP,ETC,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.7869785082174463,1.209981676723761,0.2295062844085076,0.5306658746839786,0.1769407609974181
CAF,TGFB3,TGFBR3,ETC,0.27524893314367,0.463515385701151,0.5813064973307932,0.2243994943109987,0.3197336809731754,0.24984382223222,0.1482014804579302,0.1452358371815492
CAF,FSTL1,DIP2A,ETC,0.7994310099573257,1.4183988368847191,0.5107060531504035,0.2392541087231353,0.3467998253637566,0.2651004085505606,0.4919004689277761,0.1353883833394163
CAF,LAMA2,ITGB1,ETC,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.6643489254108723,1.003136297855477,0.150596334526137,0.3584855193877144,0.1326216584541999
CAF,INHBA,TGFBR3,ETC,0.7418207681365576,1.32239664168243,0.5114075351708297,0.2243994943109987,0.3197336809731754,0.24984382223222,0.4228147459516887,0.1277720133054386
