Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,GPC3,CD81,TAM,0.2638691322901849,0.4419388173154877,0.6934906527655721,0.7140186915887851,1.339463029905257,0.2547642363948788,0.591960707274149,0.176676616598807
CAF,LAMA2,ITGB1,TAM,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.6317757009345795,1.1769723616225471,0.176693559866042,0.420608395153528,0.1556040060426832
CAF,MMP2,SDC2,TAM,0.8591749644381224,1.554229269881719,0.4309370604809533,0.3850467289719626,0.7330941063280553,0.3056722257917922,1.139396317632845,0.1317254904533852
CAF,LAMA2,RPSA,TAM,0.2126600284495021,0.3573647171915633,0.8806433361841391,0.8467289719626169,1.5998166502639262,0.1240244208462574,0.5717180247799218,0.1092212797423538
CAF,SLIT2,APP,TAM,0.2631578947368421,0.4385734799892591,0.7709625967473468,0.3887850467289721,0.7162725332631278,0.1358607745021412,0.3141381375339323,0.1047435755062765
CAF,FN1,SDC2,TAM,0.9096728307254623,1.6526678933078158,0.3423201711017919,0.3850467289719626,0.7330941063280553,0.3056722257917922,1.211561092301563,0.1046377686341119
CAF,TGFB1,SDC2,TAM,0.3406827880512091,0.5617706772590204,0.1572727588231776,0.3850467289719626,0.7330941063280553,0.3056722257917922,0.4118307726065079,0.04807391424589642
CAF,SEMA4A,PLXND1,TAM,0.2012802275960171,0.3360906740362787,0.18358860585390305,0.2672897196261682,0.486254191485841,0.24049494380291,0.163425498969442,0.04415213144768898
CAF,VEGFA,NRP2,TAM,0.2610241820768137,0.4593490007692395,0.1419133743676831,0.2841121495327103,0.5228021127731084,0.2646369750808227,0.2401486281023746,0.03755552611617603
CAF,VEGFA,NRP1,TAM,0.2610241820768137,0.4593490007692395,0.1419133743676831,0.3289719626168224,0.6053501654780628,0.2591799653267158,0.2780669936278419,0.03678110344801335
CAF,TFF2,CXCR4,TAM,0.2795163584637269,0.4698745629671683,0.1120847269938216,0.7308411214953271,1.39438131952898,0.2211334145701629,0.655184313123263,0.02478567840130828
CAF,TFF3,CXCR4,TAM,0.2745376955903271,0.4541490075997475,0.1043471147013261,0.7308411214953271,1.39438131952898,0.2211334145701629,0.6332568924797127,0.02307463377444869
CAF,TNFSF12,TNFRSF12A,TAM,0.2155049786628734,0.3485270639504395,0.07928227916610735,0.3345794392523365,0.6279253085103129,0.1732001261632627,0.2188489641552733,0.01373170075408081
