Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,IL1B,IL1R1,CAF,0.2928571428571429,0.5061434271128906,0.3050753258811161,0.3648648648648649,0.6045229976719477,0.3963473159283517,0.3059753418102376,0.1209157865689476
DC,IL1RN,IL1R1,CAF,0.2714285714285714,0.5115292528480857,0.2503165597650212,0.3648648648648649,0.6045229976719477,0.3963473159283517,0.3092311973286165,0.09921229659528497
DC,F13A1,ITGB1,CAF,0.2428571428571429,0.433330409446634,0.3607912852345702,0.8798008534850641,1.56392121529123,0.2347844485480401,0.6776946205644262,0.0847081829447372
DC,PLAU,LRP1,CAF,0.2928571428571429,0.509524094915628,0.1756915231960972,0.7332859174964438,1.294152851048957,0.4640587465167204,0.6594020601131991,0.08153118802799418
DC,ALCAM,NRP1,CAF,0.3214285714285715,0.5532049022444891,0.3015267232194364,0.310099573257468,0.5194124169876566,0.222385818824072,0.2873414953642304,0.0670552672404937
DC,TFF3,ACKR3,CAF,0.4071428571428571,0.7520319288036729,0.1727899007171143,0.2140825035561878,0.3702478260030314,0.3713100700048794,0.2784381867244263,0.06415863013140786
DC,PTGS2,CAV1,CAF,0.25,0.4548527906645314,0.3243693581184185,0.5049786628733998,0.8526391310681308,0.1732054272833933,0.3878252881961205,0.05618253327054072
DC,SEMA4A,PLXNB2,CAF,0.2857142857142857,0.491669415191563,0.2685730650957585,0.2823613086770981,0.4830251744788143,0.2075093817348034,0.2374887050588013,0.05573143068864195
DC,MDK,LRP1,CAF,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.7332859174964438,1.294152851048957,0.4640587465167204,0.6556842291501799,0.05050168284115703
DC,CD14,ITGB1,CAF,0.2571428571428571,0.4517055883714555,0.2060807056355694,0.8798008534850641,1.56392121529123,0.2347844485480401,0.7064319527197268,0.04838454482903813
DC,MDK,SDC1,CAF,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.3954480796586061,0.7114298855022154,0.3637849575580114,0.3604468789693796,0.0395892819322532
DC,ADAM17,ITGB1,CAF,0.25,0.4486849056247482,0.1556590484009655,0.8798008534850641,1.56392121529123,0.2347844485480401,0.7017078428874871,0.036546323840333364
DC,MDK,NOTCH2,CAF,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.2524893314366999,0.4192867547806622,0.2842904132185015,0.2124321809270109,0.030938204248726387
DC,MDK,ITGB1,CAF,0.2785714285714286,0.5066513036838922,0.1088260553652498,0.8798008534850641,1.56392121529123,0.2347844485480401,0.7923627225861988,0.02555066539658865
DC,PLAU,PLAUR,CAF,0.2928571428571429,0.509524094915628,0.1756915231960972,0.4174964438122333,0.7103486411366382,0.1274865805966068,0.3619397484496918,0.02239831153207987
DC,TNFSF12,TNFRSF12A,CAF,0.2785714285714286,0.473660397688853,0.1077473739165263,0.433854907539118,0.7364055486443654,0.2031221424011705,0.3488061450311681,0.02188587742802482
