Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,LIF,LIFR,Endo,0.2319848293299621,0.3316608044487794,0.48349942564958,0.2168674698795181,0.3576535566376863,0.71826528507466,0.1186196663084221,0.3472808527976299
ETC,DAG1,LAMA4,Endo,0.4339443742098609,0.6195990852425176,0.4423706986881448,0.6385542168674698,0.9951326883972228,0.5499522182521446,0.6165833034258467,0.2432827470332963
ETC,BMP2,ENG,Endo,0.3735777496839444,0.5436361032893265,0.5586672694450932,0.7951807228915663,1.27792996165323,0.394943244343314,0.6947288646298404,0.2206418639030654
ETC,BMP2,BMPR2,Endo,0.3735777496839444,0.5436361032893265,0.5586672694450932,0.6385542168674698,0.9760431118152816,0.3893072091230355,0.5306122739496482,0.2174931954960561
ETC,LAMC2,ITGB4,Endo,0.5306573957016435,0.7864503334296745,0.6738641695167631,0.3253012048192771,0.5110235291864087,0.3111573241561511,0.4018946249190601,0.209677771831543
ETC,EFNB1,EPHB4,Endo,0.3125790139064475,0.4454674378088138,0.3916826356236028,0.3012048192771085,0.4626556925389811,0.5270952307435397,0.2060980459430023,0.2064540492022607
ETC,CDH1,IGF1R,Endo,0.68173198482933,1.028127946245672,0.7135500185573117,0.2048192771084337,0.2757371793131788,0.2757540602352876,0.2834930998708332,0.1967643147981435
ETC,FAM3C,LIFR,Endo,0.6362199747155499,0.9436422628682188,0.2517142246347848,0.2168674698795181,0.3576535566376863,0.71826528507466,0.33749701150845296,0.1807975893146507
ETC,ADM,RAMP3,Endo,0.2512642225031606,0.3629306469057298,0.1876812918081824,0.7349397590361446,1.194615379380887,0.95100956216368,0.4335625324422392,0.1784867031488133
ETC,ADM,CALCRL,Endo,0.2512642225031606,0.3629306469057298,0.1876812918081824,0.8072289156626506,1.348459721300359,0.9321016125176256,0.4893973589778595,0.1749380347337978
ETC,LIF,IL6ST,Endo,0.2319848293299621,0.3316608044487794,0.48349942564958,0.6506024096385542,1.035127656100245,0.3162018064788584,0.3433112711293866,0.1528833918218876
ETC,HRAS,INSR,Endo,0.2101769911504425,0.2866764861301254,0.3053244415023678,0.7710843373493976,1.25904474081652,0.4856104062374857,0.3609385221778943,0.1482687260721982
ETC,EFNB2,EPHB4,Endo,0.3347029077117573,0.4771482944858066,0.2796819689564007,0.3012048192771085,0.4626556925389811,0.5270952307435397,0.2207553746291246,0.1474190319618815
ETC,CGN,F11R,Endo,0.3862199747155499,0.5669737557533631,0.7511803439617151,0.2168674698795181,0.34647279679339604,0.1921649080393434,0.1964409828643235,0.1443505017183653
ETC,CDH1,ITGAE,Endo,0.68173198482933,1.028127946245672,0.7135500185573117,0.2771084337349398,0.3712471284989193,0.1845658601861775,0.3816895477731971,0.1316969729608931
ETC,MMP1,ITGA2,Endo,0.3403919089759798,0.4945721888301251,0.4857611952120899,0.2168674698795181,0.3025919574245625,0.2363389860225747,0.1496535667058579,0.1148043083255393
ETC,ANG,PLXNB2,Endo,0.4200379266750948,0.6189407112904226,0.4467388726882489,0.3855421686746988,0.5533522983030206,0.2377221713677547,0.3424922651058617,0.1061997348498334
ETC,LAMA3,SDC2,Endo,0.3726295828065739,0.5364035419073618,0.6367701993635159,0.2771084337349398,0.3607032130536721,0.1503994549030349,0.1934824810593555,0.09576989088276963
ETC,ALCAM,NRP1,Endo,0.2531605562579014,0.3644422746766677,0.198640837129328,0.6024096385542169,0.9441014194169356,0.4042159184942882,0.3440704688177787,0.08029378843070563
ETC,HRAS,CAV1,Endo,0.2101769911504425,0.2866764861301254,0.3053244415023678,0.7831325301204819,1.245399841927996,0.2529909828201078,0.3570268505109316,0.07724433053468452
ETC,ADM,RAMP2,Endo,0.2512642225031606,0.3629306469057298,0.1876812918081824,0.9156626506024096,1.5145771330790638,0.3688943706175554,0.5496864586970103,0.06923457201826919
ETC,ECM1,ITGB4,Endo,0.2035398230088496,0.2909592744586021,0.2074331840895215,0.3253012048192771,0.5110235291864087,0.3111573241561511,0.1486870352833518,0.0645443545024858
ETC,BMP4,BMPR2,Endo,0.30214917825537296,0.4259853540379417,0.128347892921465,0.6385542168674698,0.9760431118152816,0.3893072091230355,0.4157800705429271,0.04996675999007775
ETC,GPI,AMFR,Endo,0.4475347661188369,0.6507143235550473,0.215066001209352,0.2289156626506024,0.3178939050389528,0.2026744760042671,0.2068581173796946,0.04358838910143849
ETC,LTB,TNFRSF1A,Endo,0.2471554993678887,0.3768974823179057,0.1368245706973042,0.6506024096385542,1.019647759980766,0.2786450105916041,0.3843026735878429,0.03812548395114202
