Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,APOE,LRP5,ETC,0.8149532710280374,1.574912145534544,0.3925471240494188,0.3726295828065739,0.5306434170140916,0.5823634983648781,0.8357167624034445,0.2286051164344913
TAM,THBS1,ITGA3,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.5622629582806574,0.8399473209788559,0.6316688887654826,0.4394140491571272,0.1238727191273191
TAM,APOE,SORL1,ETC,0.8149532710280374,1.574912145534544,0.3925471240494188,0.4778761061946903,0.6904945438300015,0.2964991265578069,1.087468243503204,0.1163898794134317
TAM,FN1,NT5E,ETC,0.6934579439252336,1.332433777594053,0.2759894837763688,0.2117572692793932,0.2885665976399651,0.3469718097320815,0.3844958817808818,0.09576057065290963
TAM,INHBA,TGFBR3,ETC,0.4635514018691589,0.9008486337780236,0.3483832042830191,0.2243994943109987,0.3197336809731754,0.24984382223222,0.2880316496775036,0.08704139135957781
TAM,THBS1,SDC4,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.7582174462705437,1.1652655418865592,0.4388154916812416,0.6096025754412001,0.08605341994281422
TAM,DCN,MET,ETC,0.2934579439252337,0.550184834362928,0.1227349850315155,0.3836915297092288,0.5426923821985007,0.6792985205061349,0.2985811184099049,0.08337369374625113
TAM,VEGFA,GPC1,ETC,0.4990654205607477,0.9765644363378584,0.3017042689025058,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.3082636485629769,0.08273524897215034
TAM,THBS1,SDC1,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.5376106194690266,0.7948676947128406,0.4064503283850938,0.4158308783828513,0.07970648588638328
TAM,SFRP2,FZD5,ETC,0.2355140186915888,0.4500329424616775,0.1259739665271316,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.16037198185409102,0.0787101626557317
TAM,CTHRC1,FZD5,ETC,0.2261682242990654,0.437322633189591,0.1253851723066704,0.2534766118836915,0.3563560946824408,0.6248129262388473,0.1558425856796842,0.0783422764158928
TAM,THBS1,ITGA6,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.6419089759797725,0.9649651975484276,0.3754835013386252,0.504816497606444,0.07363377099221087
TAM,LRPAP1,SORL1,ETC,0.5794392523364486,1.080898781296518,0.2391355428098828,0.4778761061946903,0.6904945438300015,0.2964991265578069,0.7463547109177436,0.0709034795720573
TAM,GRN,SORT1,ETC,0.9345794392523364,1.798281334932746,0.2698466558289779,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.5210242957159941,0.06085229159304417
TAM,LRPAP1,SORT1,ETC,0.5794392523364486,1.080898781296518,0.2391355428098828,0.2101769911504425,0.2897345846808113,0.2255069324691236,0.3131737594809417,0.05392672270339547
TAM,TGFB1,TGFBR3,ETC,0.4037383177570094,0.7362498836814553,0.2061197835294576,0.2243994943109987,0.3197336809731754,0.24984382223222,0.2354038854255439,0.05149775455467747
TAM,GNAI2,IGF1R,ETC,0.7514018691588785,1.408125618552551,0.1689575795172563,0.2041719342604298,0.2873160819276567,0.287333671722445,0.4045771355844768,0.04854720168803021
TAM,APP,GPC1,ETC,0.3887850467289721,0.7162725332631278,0.1358607745021412,0.2231352718078382,0.31566135023201697,0.2742263119879348,0.2260995549839462,0.03725659913554663
TAM,THBS1,ITGB1,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.6643489254108723,1.003136297855477,0.150596334526137,0.5247855091477354,0.02953252531530937
TAM,THBS1,CD47,ETC,0.2691588785046729,0.5231447713233298,0.1961038786782942,0.7013274336283186,1.0600369182830691,0.1439050676073786,0.5545527712094834,0.028220341919269087
TAM,CLEC11A,ITGB1,ETC,0.2579439252336448,0.4526739192827821,0.1773839281439023,0.6643489254108723,1.003136297855477,0.150596334526137,0.4540936395250593,0.02671336938231935
TAM,BSG,SLC16A1,ETC,0.6224299065420561,1.161367890680678,0.1283587334322537,0.2041719342604298,0.2848983475041513,0.1796640461689452,0.330871792899307,0.02306144940955976
TAM,TFF3,CXCR4,ETC,0.5532710280373832,1.0677698151937758,0.2453351158235597,0.2231352718078382,0.3313761311307635,0.05255257966934691,0.3538334302971239,0.01289299322000607
TAM,TFF2,CXCR4,ETC,0.4598130841121496,0.8576917777514289,0.2045953459302959,0.2231352718078382,0.3313761311307635,0.05255257966934691,0.2842185830139352,0.01075201321697947
TAM,MIF,CXCR4,ETC,0.7962616822429907,1.528777675731576,0.1498515668667467,0.2231352718078382,0.3313761311307635,0.05255257966934691,0.5066004315430106,0.007875086406341169
