Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,SERPINE2,LRP1,TAM,0.04490635030601664,0.08391910508828238,0.3828557590776316,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.1293886275048648,0.12071952363958545
CAF,C3,ITGAX,TAM,0.12371639043867177,0.2610216462909428,0.21617819564829668,-0.06234101905407308,-0.00027834878206234315,-0.10015385065026394,0.1826938191426271,0.1120072816395004
CAF,C3,ITGAM,TAM,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.05982569226647333,0.1898839712283128,-0.1049175161593756,0.3395927395878855,0.1046883916838392
CAF,FGF7,NRP1,TAM,0.20991346268155003,0.3951882239421104,0.05336703849137159,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.3151358815482983,0.09830799245053508
CAF,ADAM12,SDC4,TAM,-0.05819644914139069,-0.0532789021017559,0.19418327603798372,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.06839071665077229,0.09080990277726853
CAF,C3,ITGB2,TAM,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.5254469098243328,0.09055557593784157
CAF,SEMA3C,NRP1,TAM,0.1103566026211256,0.21450671262373144,0.2197516875271536,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.1786952075473374,0.08172847257614972
CAF,PLAT,LRP1,TAM,-0.0293903033930335,-0.031128002047268618,0.2253032711381751,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.08469369088318812,0.0802219336742125
CAF,C3,NRP1,TAM,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.04903941624245478,0.14509761880222127,0.11488132284008035,0.2539282458411338,0.07548198929531574
CAF,C3,LRP1,TAM,0.12371639043867177,0.2610216462909428,0.21617819564829668,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.2866483852753037,0.07219426774382108
CAF,COMP,ITGA5,TAM,0.2416772908203213,0.4930815451921219,0.19343952702529227,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.27584751730452506,0.07132735402313267
CAF,SEMA3C,NRP2,TAM,0.1103566026211256,0.21450671262373144,0.2197516875271536,-0.09025547272698609,-0.0956787886696442,0.052307072653355685,0.07993665891672541,0.0694340234362171
CAF,SPON2,ITGB2,TAM,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.27405448487482986,0.06427326157156082
CAF,THBS1,SDC4,TAM,0.06063146416551546,0.14925980635105374,0.12603990324934874,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.3199838212198341,0.06244182954296619
CAF,SPON2,ITGA5,TAM,0.000317699771666069,0.04714980411760483,0.14165905961906622,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.14935898707950754,0.060238108844247275
CAF,FBN1,ITGA5,TAM,0.032339787079662674,0.1076351095336161,0.11019225793424192,0.027687506895084396,0.1089804806901189,0.0714199604773889,0.15688517941717167,0.05857248893499053
