Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,ICAM3,ITGB2,DC,0.09062500000000001,0.14505738376324606,0.0624959687004808,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.5465967594422749,0.053839239270950336
DC,ICAM1,ITGB2,DC,0.046875,0.0491265642398826,0.052404777190973695,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.2716992961804853,0.03175772847818041
DC,GRN,TNFRSF1B,DC,0.04151785714285716,0.05770085315641005,0.0563295156832675,0.07767857142857137,0.13226212964357953,0.07663745574073341,0.23328677383918395,0.027512660398750038
DC,LTB,CD40,DC,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.0267857142857143,-0.05380292726411584,0.027771915995765284,0.0867518069118749,0.02364492823398593
DC,LTB,TNFRSF1A,DC,0.1263392857142857,0.2389402051320321,0.07247641509905539,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.1784625359790988,0.023458834187867532
DC,SERPINF1,PLXDC2,DC,-0.04017857142857151,-0.08234210811389686,0.07559572130179251,0.07276785714285722,0.11313682499150307,0.023418039093659082,0.054585207237949074,0.017387407749197645
DC,GRN,TNFRSF1A,DC,0.04151785714285716,0.05770085315641005,0.0563295156832675,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.17720306262754826,0.01651563857738758
DC,HBEGF,CD44,DC,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.2833877552224904,0.016455452903040305
DC,LGALS9,HAVCR2,DC,0.04508928571428572,0.06425796182434551,-0.026822318577049087,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.05259641790740488,0.013367684609553787
DC,LGALS1,ITGB1,DC,0.04508928571428561,0.055502320580745,0.0018402106838009968,0.23035714285714282,0.425805372047825,0.07759469713235374,0.7851916158650712,0.012295613914543127
DC,SPP1,ITGB1,DC,-0.025446428571428592,-0.05699497589468532,0.0025573455622602825,0.23035714285714282,0.425805372047825,0.07759469713235374,0.17829413416276912,0.010087636082397962
DC,HLA-A,APLP2,DC,-0.050000000000000044,-0.12825257347291075,0.002207713575624604,0.1816964285714286,0.28590671202909523,0.0525804840804884,0.44395933237696417,0.00876280984822899
DC,LGALS3BP,ITGB1,DC,-0.05982142857142861,-0.12693285290922435,0.0173986488992407,0.23035714285714282,0.425805372047825,0.07759469713235374,0.0891882126318217,0.008158453768281965
DC,HBEGF,CD9,DC,0.07142857142857151,0.1472037727199227,0.0547244298538917,-0.04151785714285722,-0.16653861018149585,-0.00013377479071330356,0.04449064765697136,0.007343028257243109
DC,TIMP2,ITGB1,DC,-0.03705357142857141,-0.06688571207847233,0.00595622519182927,0.23035714285714282,0.425805372047825,0.07759469713235374,0.13536064792657326,0.007159179811530712
DC,APP,CD74,DC,0.03705357142857141,0.03756796501326309,0.017062230313771482,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.09645591656105744,0.00522189986639327
DC,HLA-B,CANX,DC,-0.021428571428571574,-0.05891898751331781,-0.029899776248294013,0.19107142857142856,0.3397771838554854,0.06132879446110673,0.5895264394986468,0.0045693564883132025
DC,VIM,CD44,DC,-0.0031250000000000444,-0.04178253684532862,-0.015798742734139587,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.20164585927244527,0.003618670696305601
DC,LGALS9,CD44,DC,0.04508928571428572,0.06425796182434551,-0.026822318577049087,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.1988222396072588,0.0014335483201764372
DC,LGALS1,PTPRC,DC,0.04508928571428561,0.055502320580745,0.0018402106838009968,0.07723214285714286,0.09962390434762124,0.0017298984401087625,0.2298537604088349,0.0007304192599721371
DC,MIF,CD74,DC,-0.01473214285714286,-0.04349141628279218,-0.017601349725780188,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.00021229281067602912,-0.00037869168159779953
DC,LGALS1,CD69,DC,0.04508928571428561,0.055502320580745,0.0018402106838009968,0.025892857142857217,0.002057624119492285,-0.012307269568551105,0.03630307647784492,-0.0014108296038250548
DC,MIF,CXCR4,DC,-0.01473214285714286,-0.04349141628279218,-0.017601349725780188,0.022321428571428603,0.04964098793451988,-0.016404542401726313,0.008137343414750921,-0.005820923097857284
