Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
DC,AREG,ERBB3,ETC,0.009821428571428592,0.002098256790736497,0.15334411731435102,0.21106769336857845,0.3258105577874383,-0.04940751687877954,0.14009836903283895,0.10758365186544988
DC,LRPAP1,LDLR,ETC,0.050446428571428614,0.057691144497055036,0.03936284640652914,0.48905017926170535,0.7386249851313096,0.30734873112374816,0.5060181984544218,0.05215719094902317
DC,HBEGF,ERBB2,ETC,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.09084672073016548,0.15083430321014646,0.10541393909654778,0.16646327837942362,0.044728944182661684
DC,LTB,LTBR,ETC,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.002630059342772495,-0.028435508117388264,0.05968606491419181,0.14605932939801453,0.035353333897420874
DC,HBEGF,CD82,ETC,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.13519472110018188,0.15243082805465116,0.12735972271514998,0.1977001311874838,0.03510200961058065
DC,APP,TNFRSF21,ETC,0.03705357142857141,0.03756796501326309,0.017062230313771482,0.22292363367260853,0.33818255000021136,0.3019479225400681,0.1853783501603332,0.032142374539139845
DC,NAMPT,INSR,ETC,0.16830357142857144,0.2841580523927342,0.0878093856493665,0.09618532773076272,0.11310623414704225,0.031121025119981688,0.2969056217377194,0.028881009836412324
DC,APOE,LDLR,ETC,-0.4316964285714286,-0.8340047243498181,-0.04826860960535671,0.48905017926170535,0.7386249851313096,0.30734873112374816,0.04672754036754423,0.027922887065552425
DC,DCN,MET,ETC,0.06830357142857141,0.1106996238390026,0.007853282440048001,0.042228115075082395,0.021181766975999602,0.21686843302121836,0.06827817299400638,0.02772114991425984
DC,COL3A1,DDR1,ETC,-0.03839285714285709,-0.07327665693352227,-0.002437823812658599,0.14254739432809793,0.21994091987637288,0.2363688929047517,0.05613753211636824,0.023173419563879142
DC,OSM,IL6ST,ETC,0.022767857142857117,0.0234604743763574,0.0718656860494527,0.04863752694531892,0.059395314327992825,0.034660889281859134,0.03797732631326442,0.01986821402911915
DC,LTB,TNFRSF1A,ETC,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.05287799832371387,-0.10876200530652393,0.02745180154895596,0.0731372307459986,0.019025417811113124
DC,HLA-A,ERBB2,ETC,-0.050000000000000044,-0.12825257347291075,0.002207713575624604,0.09084672073016548,0.15083430321014646,0.10541393909654778,0.20518073893123898,0.018265966592197674
DC,SPP1,ITGB5,ETC,-0.025446428571428592,-0.05699497589468532,0.0025573455622602825,0.1575127333275401,0.2259705456295899,0.12780798388189302,0.09290518220674436,0.016637991748981784
DC,ARF1,INSR,ETC,0.025000000000000022,0.032420343162149916,0.04374163505158407,0.09618532773076272,0.11310623414704225,0.031121025119981688,0.15498025383914604,0.016337827343592008
DC,HBEGF,CD9,ETC,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.10285613372166369,0.05482371245948281,0.040833787823404334,0.1945560671609624,0.015429800070982228
DC,LTB,CD40,ETC,0.1263392857142857,0.2389402051320321,0.07247641509905539,-0.029058196282456983,-0.04503166159009009,0.015915937232772015,0.053471695768386174,0.015332381860722237
DC,APP,NCSTN,ETC,0.03705357142857141,0.03756796501326309,0.017062230313771482,0.035772451162047636,0.042987939203176666,0.09118142687712567,0.03501874403181171,0.010835596215749888
DC,HMGB1,SDC1,ETC,0.012053571428571441,-0.01062088887627488,-0.0138751569892476,0.07641328022290683,0.07629785605909377,0.10305615818280472,0.1173235897987761,0.009823653833125535
DC,HBEGF,CD44,ETC,0.07142857142857151,0.1472037727199227,0.0547244298538917,0.011425656148297936,-0.09708542640799822,0.0009867044946643977,0.08149094642215976,0.006657959699183532
DC,APP,CD74,ETC,0.03705357142857141,0.03756796501326309,0.017062230313771482,0.15527721792561,0.21657809942931291,0.0344058890059404,0.14687477306307525,0.005110750061475879
DC,CD99,PILRB,ETC,0.0714285714285714,0.12093830980932152,-0.006030235783055796,0.058300699947581025,0.10221765772386016,0.057314154177627315,0.14567758067353265,0.004996451850851957
DC,GPI,AMFR,ETC,0.01696428571428571,-0.0020632796166208944,0.0243205158699492,0.0336876052934762,0.00461928226482311,-0.008338335039752814,0.0012624216586774872,0.004129917448588403
DC,MIF,CD74,ETC,-0.01473214285714286,-0.04349141628279218,-0.017601349725780188,0.15527721792561,0.21657809942931291,0.0344058890059404,0.21911700727635308,0.0021623170429096897
DC,HLA-B,CANX,ETC,-0.021428571428571574,-0.05891898751331781,-0.029899776248294013,0.1889851460863764,0.21626592824851126,0.04247786922594601,0.3499094731525807,0.0014105318687762484
