Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
EMT,COL1A1,DDR1,ETC,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.14254739432809793,0.21994091987637288,0.2363688929047517,1.2826483620119111,0.16352511998400548
EMT,COL1A1,ITGA2,ETC,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.177519544992025,0.2406043476709766,0.33198357146107005,1.2073210970661836,0.1595075848323147
EMT,BMP4,BMPR2,ETC,0.7945344129554656,2.1373528224418017,0.4282199897156643,0.01966833080582281,0.006160224270523818,0.020994480811623303,0.8189468905883324,0.07169380431693897
EMT,HMGB1,SDC1,ETC,0.11133603238866407,1.0461716490808008,0.07606060786221658,0.07641328022290683,0.07629785605909377,0.10305615818280472,0.9373211622561396,0.04391746684540945
EMT,CD99,PILRB,ETC,0.1761133603238867,1.1509557438187843,0.09387809604839586,0.058300699947581025,0.10221765772386016,0.057314154177627315,0.5954494021234356,0.03514306301708231
EMT,COL1A1,ITGB1,ETC,0.2155870445344129,1.2116672716905443,0.1706577813987912,-0.02079519875764213,-0.23660432062935602,-0.005096849212556903,0.9266775185533282,0.024794630451630703
EMT,COL1A1,CD44,ETC,0.2155870445344129,1.2116672716905443,0.1706577813987912,0.011425656148297936,-0.09708542640799822,0.0009867044946643977,0.9051799772879731,0.020575708181682258
EMT,MIF,CD74,ETC,0.16497975708502022,1.1276749479428252,0.09691448028270208,0.15527721792561,0.21657809942931291,0.0344058890059404,1.7750124508352356,0.019211199941789072
EMT,HLA-B,CANX,ETC,0.14878542510121462,1.0856485142889742,0.0608439873235172,0.1889851460863764,0.21626592824851126,0.04247786922594601,1.5628998226144035,0.01637848959926176
EMT,TIMP1,CD63,ETC,0.0,0.8084306915751087,0.06308654570023661,0.03911521243703431,-0.20645469826485274,0.016302361502153414,0.8683798466584434,0.013168340984208516
EMT,LGALS1,ITGB1,ETC,0.004048582995951566,0.8172786469953346,0.06945156480212558,-0.02079519875764213,-0.23660432062935602,-0.005096849212556903,0.4377379210503061,0.009715809835310351
EMT,B2M,HLA-F,ETC,0.002024291497975561,0.8135115617001651,0.04664599030630101,-0.03603875080240293,-0.05396145059582047,0.01949525093959741,0.3905441429521139,0.00920962434047872
EMT,VIM,CD44,ETC,0.005060728744939236,0.8192782468174182,0.0585360967299223,0.011425656148297936,-0.09708542640799822,0.0009867044946643977,0.5355743598254328,0.007142528611489352
