Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,EDN1,EDNRA,CAF,0.36014853913623607,0.5314547477816076,0.2523441671253475,-0.0763155845060896,-0.08736400885928662,0.029918723186716963,0.3177862168888776,0.1989654551145546
ETC,SLPI,PLSCR4,CAF,0.1681128605907367,0.17411756622136387,0.20507639312037876,0.10336515796852525,0.20274578923965694,0.11663707151501584,0.35899130244137045,0.14938933056244014
ETC,VEGFA,GPC1,CAF,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.07426590855985671,-0.07160841315823208,0.17230425111003078,0.24969275585992945,0.09113283689870864
ETC,APP,GPC1,CAF,0.18830888515757938,0.22775070629359395,0.06495620465283561,-0.07426590855985671,-0.07160841315823208,0.17230425111003078,0.060548145355606035,0.06078183586694552
ETC,ADAM9,ITGB5,CAF,0.10171244684519032,0.09014303125239552,0.08486487811238921,-0.015138906538876284,0.0434894879163914,0.08265330114771191,0.11030626290535928,0.054040787470380505
ETC,TFPI,LRP1,CAF,-0.0018949321776863814,-0.07301454334995205,0.05022699366567801,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.12002176638761496,0.05399497814447037
ETC,APP,LRP1,CAF,0.18830888515757938,0.22775070629359395,0.06495620465283561,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.5971661845971482,0.051843427875062624
ETC,LRPAP1,LRP1,CAF,0.14313535590246135,0.19857652884407373,0.0738032487438765,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.4638147753630958,0.049908500143922785
ETC,MDK,LRP1,CAF,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.5491160261898571,0.04685748413748994
ETC,MDK,SDC1,CAF,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.061154131531805045,0.17919264161777915,0.13906403514690208,0.3131626241946559,0.045522309319617926
ETC,GAS6,AXL,CAF,0.10824729986180451,0.13494509831400248,0.09466641267481604,-0.06653248121472,-0.09734541269274488,0.1407887663207349,0.0715328786787745,0.044668810906073005
ETC,VEGFA,NRP2,CAF,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.053170643721227706,-0.03798335930070379,0.0595249442619615,0.1996382124902239,0.039152907997589984
ETC,ITGAV,THY1,CAF,0.09491129418822059,0.06298243053978603,0.03399127027936441,-0.060707302175526,-0.07739848247480685,0.07913114234701424,0.03779061321440602,0.036710044364797606
ETC,ADAM9,ITGAV,CAF,0.10171244684519032,0.09014303125239552,0.08486487811238921,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.16492697011754698,0.035604764020429155
ETC,JAG1,NOTCH2,CAF,0.06238489548439899,0.0518553704027982,0.08623920563434795,0.004650714722002486,0.032932435469685606,0.06108646916873841,0.03373002512426701,0.034848616207630564
ETC,VEGFA,NRP1,CAF,0.3000292929604391,0.4776311779260216,0.14460225357056067,-0.0789494180969989,-0.14658301736131185,0.013582548156808094,0.19733586891167,0.03365056191361217
ETC,PSAP,LRP1,CAF,0.06576970407102067,-0.0032842437184050772,0.03324501026756318,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.3603996223034451,0.030810683528033407
ETC,HBEGF,CD9,CAF,0.20350478358248703,0.3220859352047303,0.1053774068221497,0.14557413472929936,0.2977078329223898,0.07718280165672481,0.5266065513235505,0.030676167808042307
ETC,ADAM9,ITGB1,CAF,0.10171244684519032,0.09014303125239552,0.08486487811238921,-0.007807215679201063,0.014477408089263122,0.0401971003797518,0.15150620565461706,0.029764621232405218
ETC,LTBP3,ITGB5,CAF,0.03900869258089196,0.0273371637378268,0.031812758611870016,-0.015138906538876284,0.0434894879163914,0.08265330114771191,0.048485966463114816,0.028376854205262318
ETC,CALR,LRP1,CAF,0.04508382832362967,-0.12018849938206146,0.0190922453478517,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.2672200425389171,0.02684428123424613
ETC,SLPI,PLSCR1,CAF,0.1681128605907367,0.17411756622136387,0.20507639312037876,-0.06587863458787158,-0.06941698255512685,0.004303969794652307,0.01643356782915395,0.025913949953765617
ETC,PSEN1,NOTCH2,CAF,-0.006949019036219584,-0.024776044470887937,0.04635647453572458,0.004650714722002486,0.032932435469685606,0.06108646916873841,0.0031248231747687816,0.023962200990547532
ETC,MDK,NOTCH2,CAF,0.17081790430592503,0.15375088992629204,0.03097626599600467,0.004650714722002486,0.032932435469685606,0.06108646916873841,0.10191680335179454,0.02385279190768493
ETC,SERPING1,LRP1,CAF,-0.03176323999764541,-0.05237927133567039,0.013334797433757206,0.13962597513333141,0.30789291706657784,0.13187433878856053,0.09888893994688364,0.020585398748912038
ETC,ADAM15,ITGAV,CAF,0.07038649888854936,0.12110932388583062,0.0356910316365647,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.15643267780174636,0.020167767191080998
ETC,AZGP1,ITGAV,CAF,0.08038044407567393,0.09695541930290592,-0.09853811972310113,0.031339545217901055,0.1265522931663866,0.055203464742172616,0.1252363157959927,0.01913621972656201
ETC,MDK,ITGB1,CAF,0.17081790430592503,0.15375088992629204,0.03097626599600467,-0.007807215679201063,0.014477408089263122,0.0401971003797518,0.2569181304410755,0.01717390930953644
ETC,HSPG2,ITGB1,CAF,0.11953910540139762,0.1765871860901952,0.04604990993165231,-0.007807215679201063,0.014477408089263122,0.0401971003797518,0.2848299348042367,0.01705122897232316
ETC,ADAM15,ITGB1,CAF,0.07038649888854936,0.12110932388583062,0.0356910316365647,-0.007807215679201063,0.014477408089263122,0.0401971003797518,0.19609907410483216,0.01629977201691448
ETC,GNAI2,EDNRA,CAF,0.17794352205101172,0.26022355788396506,0.01972590894233188,-0.0763155845060896,-0.08736400885928662,0.029918723186716963,0.13443361400596565,0.01619090402930682
