Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,ZG16B,CXCR4,TIL,0.2407797253469604,0.35245695191763177,0.29111472866165056,0.04779821627647718,0.5842345915796774,0.05814435177894368,1.0881429829560791,0.13034756192200458
ETC,CD59,CD2,TIL,0.22415772226909725,0.2423065830990219,0.07313560125343542,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.6751452075705451,0.09494933895259144
ETC,CD58,CD2,TIL,-0.0068165700045692,-0.030952601938297963,0.05856284162092081,-0.08305462653288742,0.20517413504498985,0.2004225541472754,0.01330746598331678,0.07404810711568002
ETC,HBEGF,CD44,TIL,0.20350478358248703,0.3220859352047303,0.1053774068221497,0.05156075808249716,0.46494188998946,0.0859334752480615,0.7598669665773484,0.03576208130219953
ETC,TFF2,CXCR4,TIL,0.375129996271805,0.6842503540057134,0.0180677163010613,0.04779821627647718,0.5842345915796774,0.05814435177894368,1.9566716649496363,0.023847510220101897
ETC,TFF3,CXCR4,TIL,0.47781653916987404,0.7697826458816286,0.0053228049518798115,0.04779821627647718,0.5842345915796774,0.05814435177894368,2.071990266800495,0.01846838219716279
ETC,MYL9,CD69,TIL,-0.002095357696480088,-0.01621546456315076,0.011240547405854798,0.026059085841694474,0.2760153852536311,0.10895807108349942,0.0790775292500367,0.01397754344187192
ETC,APP,CD74,TIL,0.18830888515757938,0.22775070629359395,0.06495620465283561,-0.3141025641025642,-0.28597460533404595,-0.014626413328182902,0.08336132594890122,0.009210208398826587
ETC,COL1A2,CD44,TIL,-0.0927521647357607,-0.10434173352872506,-0.0033789905235535322,0.05156075808249716,0.46494188998946,0.0859334752480615,0.06165010763263856,0.0070325533858427705
ETC,LGALS9,CD44,TIL,0.008904919815776735,0.008083477908692127,-0.030238987631073605,0.05156075808249716,0.46494188998946,0.0859334752480615,0.2873216316133119,0.004582817437595768
ETC,MIF,CXCR4,TIL,0.1124772594122907,0.01003705120114895,-0.012782717849130487,0.04779821627647718,0.5842345915796774,0.05814435177894368,0.7936109934775377,0.0036112253389643796
ETC,LGALS1,CD69,TIL,-0.0366834762474737,-0.13141996461896732,-0.013397175775647864,0.026059085841694474,0.2760153852536311,0.10895807108349942,0.1357511348002839,0.0033533727339495195
ETC,LGALS1,PTPRC,TIL,-0.0366834762474737,-0.13141996461896732,-0.013397175775647864,-0.005852842809364378,0.3937722149253469,0.058384985753367084,0.13474509053012307,-0.0009154677659553092
