Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,ICAM3,ITGB2,DC,-0.06577480490523968,0.012896337996468388,0.008249648021234679,0.2683035714285714,0.5141350292691811,0.11549096006288788,0.3922026033744929,0.03717210273274832
TIL,HMGB1,HAVCR2,DC,-0.13085284280936438,0.1432914565426071,-0.0018299514718911887,0.015178571428571375,0.004771146183548458,0.1484767925672602,0.11797805832389695,0.0227410148786185
TIL,HLA-A,APLP2,DC,-0.02898550724637683,0.4630993542839432,0.0554753820577962,0.1816964285714286,0.28590671202909523,0.0525804840804884,0.9480969372338875,0.016011091198555302
TIL,LTB,TNFRSF1A,DC,-0.2813545150501672,-0.3229351261161557,-0.14930818177503458,0.06116071428571429,0.10517041540174876,0.05669236993762256,0.009547908015500428,0.013884149109137198
TIL,HLA-B,CANX,DC,0.0,0.5467352163785222,0.01409590638553121,0.19107142857142856,0.3397771838554854,0.06132879446110673,1.2923130941697831,0.012779713429096486
TIL,VIM,CD44,DC,-0.1839464882943146,0.03288803459782685,-0.009022949546371395,0.08973214285714282,0.1432865025370258,0.04140694474673129,0.303340864800032,0.004789764498866377
TIL,B2M,HLA-F,DC,0.0,0.5467352163785222,0.02527438717102659,-0.06785714285714278,-0.13353940281835586,0.0021932070385621005,0.04379691726665502,0.003749302486424341
TIL,LGALS1,ITGB1,DC,-0.44035674470457076,-0.6449397867140664,-0.059990001472559534,0.23035714285714282,0.425805372047825,0.07759469713235374,0.05603841674046717,0.002502370197345928
TIL,MIF,CD74,DC,-0.1467391304347826,-0.021162677400505148,-0.01425240079413939,0.028124999999999956,0.062264024268091626,0.023177154051366892,0.034021431237080346,2.5029691808141352e-05
TIL,MIF,CXCR4,DC,-0.1467391304347826,-0.021162677400505148,-0.01425240079413939,0.022321428571428603,0.04964098793451988,-0.016404542401726313,0.031001356865318908,-0.004948147640114989
