Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CCL5,CCR1,TAM,0.13740245261984396,0.5393347950059436,0.2392943681130004,-0.1059400167058045,-0.12622800949791185,0.19558403091468213,0.1525566988956435,0.2829175653839853
TIL,CCL4,CCR1,TAM,0.07845596432552951,0.3351315923903554,0.07928493200631398,-0.1059400167058045,-0.12622800949791185,0.19558403091468213,0.10473429719964494,0.10965538816558744
TIL,CCL5,SDC4,TAM,0.13740245261984396,0.5393347950059436,0.2392943681130004,0.09830893130131924,0.2454370245047942,0.1179920457569056,0.547903676478981,0.10582463084498253
TIL,PTPRC,MRC1,TAM,-0.005852842809364378,0.3937722149253469,0.058384985753367084,0.11687759058170882,0.2832889631109195,0.008481047497059468,0.7330946649581765,0.0531091089211288
TIL,ANXA1,FPR3,TAM,0.20052954292084735,0.7048691026102942,0.08646450990865981,-0.29288427290350033,-0.4295587314836044,-0.10392288200539612,0.17811676858107472,0.0432344762097559
TIL,ANXA1,FPR1,TAM,0.20052954292084735,0.7048691026102942,0.08646450990865981,-0.10651053568895691,-0.1283102322605041,-0.13765507726357662,0.3138973888571984,0.027270689259870067
TIL,HLA-A,APLP2,TAM,-0.02898550724637683,0.4630993542839432,0.0554753820577962,0.05894312146380676,0.2899197248720642,0.06330986029579737,1.3423336776654082,0.02512216007499321
TIL,RPS19,C5AR1,TAM,0.0,0.5467352163785222,0.025120224388879897,-0.10064459188980479,-0.06474054057407397,-0.01637149967747586,0.5224823741329718,0.016521773064815004
TIL,CALR,LRP1,TAM,-0.14687848383500557,-0.03224600392717214,0.023266904534767995,0.011694063135332833,0.11426007344051292,0.05609092378888361,0.09972254815861857,0.012881681969744084
TIL,HMGB1,THBD,TAM,-0.13085284280936438,0.1432914565426071,-0.0018299514718911887,0.12024711982474662,0.32156700353402345,0.07766146135825469,0.7140507848112209,0.011514442601949296
TIL,HLA-B,CANX,TAM,0.0,0.5467352163785222,0.01409590638553121,0.0427132748104837,0.2134070187800252,0.04312552202414308,1.1260557378644007,0.010093135136006999
TIL,VIM,CD44,TAM,-0.1839464882943146,0.03288803459782685,-0.009022949546371395,0.0805598020519771,0.341840706083693,0.07096860451875972,0.665158328606736,0.009198821819633995
TIL,ICAM3,ITGB2,TAM,-0.06577480490523968,0.012896337996468388,0.008249648021234679,0.007337945816456748,0.17158424698667507,0.014246841980740887,0.14554919579476389,0.007601109843574594
TIL,B2M,HLA-F,TAM,0.0,0.5467352163785222,0.02527438717102659,-0.14992986714157386,-0.19030042071976672,8.519489718777917e-06,0.029012698044097673,0.0044898401434645095
TIL,MIF,CD74,TAM,-0.1467391304347826,-0.021162677400505148,-0.01425240079413939,-0.028037383177569986,0.14275279514829475,0.0319616567784983,0.12669420556197994,0.001045435507071934
TIL,CIRBP,TREM1,TAM,-0.23759754738015604,-0.1438312028856923,-0.033114786732008517,0.21819671872783725,0.4902307631593789,0.09192367376010346,0.5994665410263467,-0.00714467705675069
