Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,PTN,PLXNB2,CAF,0.03363518227768186,0.06748877818765497,0.19741284773727474,0.051932639449703,0.0463970358034369,-0.004425386228001593,0.0559934893721058,0.03781699762746031
CAF,TNFSF12,TNFRSF12A,CAF,0.04674285995384128,0.0435373659032664,0.12075832174542594,0.087758925313908,0.11068748001466966,-0.0361970531032417,0.07545778156842031,0.017287808771701624
CAF,GNAI2,EDNRA,CAF,0.022113953783906792,0.007740824643462819,0.021562369412782056,0.0763155845060896,0.08736400885928662,-0.029918723186716963,0.06764501473502328,0.012565253736639805
CAF,MMP7,CD151,CAF,0.011375701501592589,0.01899548075983337,0.04125774811147642,0.03670354716919255,0.012613657903592037,0.023388225649988714,0.026078479901288976,0.008761211595565158
CAF,GNAI2,CAV1,CAF,0.022113953783906792,0.007740824643462819,0.021562369412782056,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.07926393361039585,0.0072505647284698375
CAF,COL4A1,ITGA1,CAF,0.12175690023407304,0.2210284757658919,0.04071220747488219,0.05992022661217261,0.08229855995034763,-0.018838694435986902,0.2454500716866864,0.006562754916854693
CAF,MMP7,CD44,CAF,0.011375701501592589,0.01899548075983337,0.04125774811147642,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.033007339180465195,0.003548879829657801
CAF,COL14A1,CD44,CAF,0.04732291824662521,0.08535521683678382,0.0619133664234558,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.09209901103577127,0.003066017058743098
CAF,GNAI2,F2R,CAF,0.022113953783906792,0.007740824643462819,0.021562369412782056,0.11145112957641401,0.17303866926858025,-0.0742994105035214,0.12968916275134634,0.0013470209755909038
CAF,MIF,CD74,CAF,0.08294013716431436,0.13562788697713102,0.028893196832131093,0.012357496279838176,-0.07723777371126228,-0.016981782074299345,0.01805508362339081,0.0004272245922128277
CAF,VIM,CD44,CAF,-0.00250265433035024,-0.04195585513994904,0.007935448929472594,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.06416130788198626,0.00014830503952264866
CAF,B2M,HLA-F,CAF,-0.007223058034524832,-0.05038215073752328,0.009248593572472595,0.07008251995359532,0.07623114496850407,-0.010472272360108906,0.11072839167921368,-0.0003482681429225268
CAF,APP,CAV1,CAF,-0.012677245727450548,-0.08062253029888411,-0.04204495680653547,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.05371983704323791,-0.0006104671048894478
CAF,NID1,ITGAV,CAF,0.1615165142390988,0.2353723186647545,0.08613770794620995,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.09852389013169338,-0.0009429515161358953
CAF,COL1A1,CD44,CAF,0.001801665156738741,-0.03182703252561825,-0.0004121266754892328,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.07238970768560192,-0.0010491296811454102
CAF,SLPI,PLSCR1,CAF,0.044461570625684066,0.05929351728134207,-0.025511090159005483,0.06587863458787158,0.06941698255512685,-0.004303969794652307,0.06240179592739401,-0.0034574333184564203
CAF,TIMP1,CD63,CAF,0.01194346173869898,-0.0031616752755827533,0.0096680930055561,0.023886923477398403,0.03177941888809665,-0.03738068604776512,0.050938325283210066,-0.004409416819342871
CAF,COL4A1,ITGB1,CAF,0.12175690023407304,0.2210284757658919,0.04071220747488219,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.32862199290024496,-0.0064879746789529855
CAF,ADAM17,ITGB1,CAF,0.03285015639027472,0.0669151457793849,-0.005238494010890799,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.09752602658839893,-0.00694834155990785
CAF,ADAM9,ITGB1,CAF,0.03674864004000958,0.047051388677710526,-0.008354637209993104,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.06765309323817181,-0.007504451943502868
CAF,COL1A2,CD44,CAF,0.0004898725511495172,-0.0311384176977334,-0.06832506618360762,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.07366417479790277,-0.007862373085160232
