Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
CAF,THBS2,CD47,DC,-0.10007542807482128,-0.23264234732423786,-0.12512279887655153,0.0825892857142857,0.16928805083577836,0.04893956574384782,0.0026257670195450893,0.00997255295630009
CAF,MIF,CXCR4,DC,0.08294013716431436,0.13562788697713102,0.028893196832131093,-0.022321428571428603,-0.04964098793451988,0.016404542401726313,0.09822296256234232,0.008482262535708343
CAF,MMP7,CD151,DC,0.011375701501592589,0.01899548075983337,0.04125774811147642,0.025446428571428592,0.07199039008900687,0.02009516459736017,0.036000016444859395,0.004984834567186213
CAF,MIF,CD74,DC,0.08294013716431436,0.13562788697713102,0.028893196832131093,-0.028124999999999956,-0.062264024268091626,-0.023177154051366892,0.15436684447655136,0.0021375873274077227
CAF,B2M,HLA-F,DC,-0.007223058034524832,-0.05038215073752328,0.009248593572472595,0.06785714285714278,0.13353940281835586,-0.0021932070385621005,0.20992002816876495,0.0009416113136421143
CAF,ICAM1,SPN,DC,0.03577914331744145,0.05306311591686957,-0.012738301972538809,0.11071428571428571,0.23155819796315655,0.038698830540972506,0.1161283569749272,0.0002900438306444112
CAF,THBS1,CD47,DC,-0.06063146416551546,-0.14925980635105374,-0.12603990324934874,0.0825892857142857,0.16928805083577836,0.04893956574384782,0.029020996253796838,-0.0010773551580138122
CAF,TIMP1,CD63,DC,0.01194346173869898,-0.0031616752755827533,0.0096680930055561,0.04062500000000002,0.13319676358511678,-0.02528241407611359,0.2312256096627534,-0.0025116351276844584
CAF,SLPI,PLSCR1,DC,0.044461570625684066,0.05929351728134207,-0.025511090159005483,-0.07276785714285716,-0.1136022781685575,-0.047919461542792814,0.01461859719859654,-0.009494734987718287
CAF,COL14A1,CD44,DC,0.04732291824662521,0.08535521683678382,0.0619133664234558,-0.08973214285714282,-0.1432865025370258,-0.04140694474673129,0.03877530666910512,-0.017795211092627522
