Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ETC,MMP7,CD151,CAF,0.24366627329070667,0.7277189931169498,0.3229950885674783,0.03670354716919255,0.012613657903592037,0.023388225649988714,0.8410317504024467,0.059359228362630974
ETC,COL1A1,ITGA11,CAF,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.018071992817935395,-0.02055807071600724,0.08580930560767164,0.08138254597547087,0.039627260375802435
ETC,MMP7,CD44,CAF,0.24366627329070667,0.7277189931169498,0.3229950885674783,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.5892434136116721,0.02934674134805287
ETC,COL1A1,DDR2,CAF,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.01918496685673987,-0.0013240732132016042,-0.040596772006744615,0.19813662896862053,0.02008452927031893
ETC,C3,NRP1,CAF,0.3381122438968327,0.5229327575055016,0.0840432349498301,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.3934450435400689,0.01579844802338258
ETC,C3,CD46,CAF,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.012642401236364509,-0.04237366500821038,-0.0017877414955072837,0.2760241821978378,0.0114693656585785
ETC,C3,LRP1,CAF,0.3381122438968327,0.5229327575055016,0.0840432349498301,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.42086064100433984,0.010926397269948368
ETC,COL1A2,ITGA11,CAF,0.0927521647357607,0.10434173352872506,0.0033789905235535322,0.018071992817935395,-0.02055807071600724,0.08580930560767164,0.030248222911836407,0.010691969390873579
ETC,COL1A1,ITGB1,CAF,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.3713266969245385,0.004429059528159588
ETC,B2M,HLA-F,CAF,0.0015753726092599951,0.3701202978945701,0.0410611532198536,0.07008251995359532,0.07623114496850407,-0.010472272360108906,0.3364821465982909,0.0033259327001011513
ETC,SERPINA1,LRP1,CAF,0.09861846549737763,0.3430104649597202,0.0661100895765536,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.048570345389500114,0.003216551588988481
ETC,COL1A1,CD44,CAF,0.15965574464387333,0.2440358778386497,0.036645058739914096,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.2062034936538064,0.003152907612869641
