Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Endo,CLEC11A,ITGA11,CAF,0.00766703176341732,0.028461601612727705,0.027068964239714888,0.018071992817935395,-0.02055807071600724,0.08580930560767164,0.003763441428885628,0.036220885173940204
Endo,GNAI2,EDNRA,CAF,0.00503833515881702,0.015866589033685985,0.040163615366968886,0.0763155845060896,0.08736400885928662,-0.029918723186716963,0.1264154407678051,0.02343180275705312
Endo,GNAI2,CAV1,CAF,0.00503833515881702,0.015866589033685985,0.040163615366968886,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.148265441320101,0.013475817611062984
Endo,FN1,SDC2,CAF,0.366922234392114,0.620048788740773,0.02134814100328819,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.6493887285883673,0.011225658532862807
Endo,SERPINA1,LRP1,CAF,0.12880613362541066,0.23130726115527436,0.041777944014832334,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.11025235288261563,0.00625182746328622
Endo,APP,CAV1,CAF,0.023658269441402036,0.036758164597180835,-0.026283602801243974,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.183571583529514,0.003741322015866619
Endo,GNAI2,F2R,CAF,0.00503833515881702,0.015866589033685985,0.040163615366968886,0.11145112957641401,0.17303866926858025,-0.0742994105035214,0.2415872793681449,0.002575761740428659
Endo,MIF,CD74,CAF,0.143921139101862,0.26655515330518803,0.04117700147028669,0.012357496279838176,-0.07723777371126228,-0.016981782074299345,0.15094571502044873,0.0018757381451783503
Endo,HBEGF,CD44,CAF,0.09353778751369102,0.14737808369338612,0.02225800141915471,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.14426043492468454,0.0013228860094475804
Endo,FN1,CD44,CAF,0.366922234392114,0.620048788740773,0.02134814100328819,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.5062501763294383,0.0012825990215636007
Endo,THBS1,CD47,CAF,0.008543263964950698,0.058741582119650186,-0.0281218974677801,0.0065507643241604074,-0.001895521103607134,0.016296724504303625,0.03692456430585739,0.0007137408265587876
Endo,VIM,CD44,CAF,0.0,-0.03390781816026545,0.008150763851481613,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.0659265423866322,0.00019450712742600032
Endo,COL1A1,CD44,CAF,0.009419496166484076,0.034281753945936355,0.007094555288568698,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.07322424104116898,0.00015854628851252883
Endo,CLEC11A,ITGB1,CAF,0.00766703176341732,0.028461601612727705,0.027068964239714888,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.03927352556238395,1.6405956434952657e-05
Endo,B2M,HLA-F,CAF,0.0,-0.03390781816026545,0.009532548347206809,0.07008251995359532,0.07623114496850407,-0.010472272360108906,0.1094203031632941,-0.00021109719963612744
Endo,COL1A1,DDR2,CAF,0.009419496166484076,0.034281753945936355,0.007094555288568698,0.01918496685673987,-0.0013240732132016042,-0.040596772006744615,0.026746636173783037,-0.0007415099983167361
Endo,FN1,PLAUR,CAF,0.366922234392114,0.620048788740773,0.02134814100328819,0.02342574638949585,-0.013286278642192341,-0.02150268580567741,0.4207294191289259,-0.0015869135349987596
Endo,LGALS3BP,ITGB1,CAF,0.17765607886089813,0.33511332027588797,0.010944769419943476,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.5135718655804749,-0.0016188258761077393
Endo,FN1,ITGB1,CAF,0.366922234392114,0.620048788740773,0.02134814100328819,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.9482180151168516,-0.0030421223901637776
Endo,LGALS1,ITGB1,CAF,0.06615553121577222,0.09360736812388937,0.011185679441422595,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.12295085346249925,-0.003252155209905263
Endo,TGFB1,SDC2,CAF,0.1971522453450164,0.3356539905075404,-0.012028254418102095,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.3501186242222112,-0.0034682805688443646
Endo,COL1A1,ITGB1,CAF,0.009419496166484076,0.034281753945936355,0.007094555288568698,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.040275178392452426,-0.0037268585682284673
Endo,GRN,TNFRSF1A,CAF,0.17415115005476456,0.34079717623212397,0.001993064990245097,0.11948585928564687,0.19782541268739084,-0.027063208718916487,0.571645908100756,-0.0042323793163682455
Endo,TIMP1,CD63,CAF,0.005914567360350453,-0.0285169943714676,0.006526287015011206,0.023886923477398403,0.03177941888809665,-0.03738068604776512,0.0024236522064500217,-0.004466586639562988
Endo,FN1,ITGAV,CAF,0.366922234392114,0.620048788740773,0.02134814100328819,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.31348447562103066,-0.005503894049805204
Endo,DAG1,LAMA4,CAF,0.019715224534501585,0.001255951204987893,-0.025018403634260444,0.10101417965819603,0.13050748732307305,0.014898888130606913,0.05128075865823928,-0.005711136685290566
Endo,TGFB1,TGFBR2,CAF,0.1971522453450164,0.3356539905075404,-0.012028254418102095,0.01794081355737659,0.004405139342160913,-0.03388114888532881,0.1901512704298034,-0.00888220698022953
Endo,JAG1,CD46,CAF,0.008543263964950698,0.04574759126128825,-0.06434556116363344,-0.012642401236364509,-0.04237366500821038,-0.0017877414955072837,0.0010169256628881906,-0.009586433435880393
Endo,SEMA3F,NRP1,CAF,0.008543263964950698,0.04488614282014691,0.009016167949976062,0.0789494180969989,0.14658301736131185,-0.013582548156808094,0.1194823405504582,-0.009629238081327124
Endo,TGFB1,ENG,CAF,0.1971522453450164,0.3356539905075404,-0.012028254418102095,-0.0022997364116733032,-0.02127139455685967,-0.03802478050861072,0.2532710064963982,-0.010837628142536049
Endo,LRPAP1,LRP1,CAF,0.13603504928806132,0.2848806675110636,0.022360931986616792,-0.13962597513333141,-0.30789291706657784,-0.13187433878856053,0.08710898967647507,-0.010941747764262315
Endo,TGFB1,ITGAV,CAF,0.1971522453450164,0.3356539905075404,-0.012028254418102095,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.1310854231252433,-0.014413651305437168
Endo,THBS1,ITGB1,CAF,0.008543263964950698,0.058741582119650186,-0.0281218974677801,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.08236031995245352,-0.014481828840969326
Endo,SERPINF1,PLXDC1,CAF,0.032639649507119395,0.06007979671115194,-0.051613153406882085,0.22350486388102028,0.3761603818866242,0.0899388740295986,0.2510669334213491,-0.01466759758441695
Endo,TIMP2,ITGB1,CAF,0.009857612267250793,0.026987929076854437,-0.0364853190177358,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.02796450168661924,-0.01534318347729979
Endo,MFGE8,ITGAV,CAF,0.1299014238773274,0.22267699763453966,-0.0365353859040797,-0.031339545217901055,-0.1265522931663866,-0.055203464742172616,0.07397210526608611,-0.02149100878539389
Endo,COL4A1,ITGA1,CAF,0.005476451259583959,0.022844456188154227,-0.04510805316690469,0.05992022661217261,0.08229855995034763,-0.018838694435986902,0.1388513660501911,-0.025186696825065497
Endo,COL4A1,ITGB1,CAF,0.005476451259583959,0.022844456188154227,-0.04510805316690469,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.014001681307826086,-0.031038380320437476
Endo,SEMA4C,PLXNB2,CAF,0.008105147864184092,0.0016586911542957328,-0.16208757573935234,0.051932639449703,0.0463970358034369,-0.004425386228001593,0.024563458940174587,-0.035321980188607924
Endo,COL18A1,ITGB1,CAF,0.010514786418400868,0.019164134270291955,-0.09132575762186107,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.012828002485684165,-0.03590545939079921
