Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TAM,TNFSF12,CD163,TAM,0.17156545996123002,0.2527032975433883,0.2684523585086573,0.1115317331484138,0.09491715369904608,-0.06394337250688087,0.2999286575185212,0.21595213033191366
TAM,CD84,CD84,TAM,0.15856330081480202,0.2174442239026163,0.1214455138358414,0.15856330081480202,0.2174442239026163,0.1214455138358414,0.3016323192465753,0.125488931420875
TAM,C3,C3AR1,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,0.19397645427180032,0.290734183882849,0.127058897744743,0.6218681781284159,0.08007862090404651
TAM,LILRB4,LAIR1,TAM,0.26600368788513973,0.39438550532214456,0.09336030806300487,0.1905060597941719,0.2474195368799933,0.031981430476594075,0.6643903986623435,0.08005042101115645
TAM,C3,ITGAX,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,0.06234101905407308,0.00027834878206234315,0.10015385065026394,0.3961893555206505,0.06992351262811741
TAM,C3,ITGAM,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.05982569226647333,-0.1898839712283128,0.1049175161593756,0.27337039888975545,0.06891067564583839
TAM,LGALS9,HAVCR2,TAM,0.27697593418543437,0.3998080522313786,0.14253573089258334,0.20816062788608525,0.2776235213415199,-0.04992824388378303,0.6870124491638081,0.055482783487578055
TAM,CD47,SIRPA,TAM,0.25405746166333076,0.37293697710785023,0.08106028184982579,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.5821717894435121,0.04983033731202808
TAM,SIRPA,CD47,TAM,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.25405746166333076,0.37293697710785023,0.08106028184982579,0.5821717894435121,0.04983033731202808
TAM,GNAI2,FPR1,TAM,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.10651053568895691,0.1283102322605041,0.13765507726357662,0.1341948415887393,0.043311984921204284
TAM,GNAI2,C5AR1,TAM,0.04792359458479767,-0.06122663462663304,0.03143378640114769,0.10064459188980479,0.06474054057407397,0.01637149967747586,0.014706103017883,0.027088932549912403
TAM,C3,ITGB2,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.007337945816456748,-0.17158424698667507,-0.014246841980740887,0.7202308297742274,0.02658695211902838
TAM,PLAU,ST14,TAM,0.062422972057178006,0.053695481272662327,-0.02721353695565909,0.06506122834943498,0.048347931539434515,0.10019020648320226,0.061652705266669876,0.015321892196701672
TAM,SERPINF1,PLXDC2,TAM,0.27120139950512995,0.4144289474902952,0.016537410214816584,0.086441506044034,0.05556225476579701,0.0599652819772778,0.4831562844538938,0.014989607107587618
TAM,LGALS9,CD44,TAM,0.27697593418543437,0.3998080522313786,0.14253573089258334,-0.0805598020519771,-0.341840706083693,-0.07096860451875972,0.28186747261160283,0.014537556100768604
TAM,C3,CD46,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,-5.358465587623762e-05,-0.04911165434542575,-0.002627123555419081,0.3196345681271578,0.01079296554764313
TAM,LGALS1,PTPRC,TAM,0.0005484547130856221,-0.20493295321370186,-0.015043426946265788,0.16273344785740174,0.1905570176953042,0.07380833764830302,0.10974203789835092,0.007707467987629203
TAM,C3,LRP1,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.011694063135332833,-0.11426007344051292,-0.05609092378888361,0.3426742431399662,0.007128416778400168
TAM,A2M,LRP1,TAM,0.2352807678365983,0.3710354263243935,0.0580402556207931,-0.011694063135332833,-0.11426007344051292,-0.05609092378888361,0.20072144009203707,0.0049559315071802746
TAM,SLPI,PLSCR1,TAM,0.20890766102977099,0.3125883292898688,0.022376579032553717,0.16704228459756365,0.17244008454441695,-0.004012813569798296,0.5102670030481341,0.004936639149684396
TAM,SERPING1,LRP1,TAM,0.2690296449228539,0.3918661548271956,0.0454426407914815,-0.011694063135332833,-0.11426007344051292,-0.05609092378888361,0.1936509711537789,0.0009731837332962873
TAM,TGFB1,TGFBR2,TAM,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.15193771571764028,0.2234441140223397,0.0261690131684718,0.29664671121724895,0.0007956697444732111
TAM,TGFB1,TGFBR1,TAM,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.1694725063434777,0.2346214184289458,0.05932136117428378,0.3247596254166565,0.0007341092558746376
TAM,B2M,HLA-F,TAM,0.0,-0.20758713516560826,-0.0023263990795105998,0.14992986714157386,0.19030042071976672,-8.519489718777917e-06,0.18043767181344794,-0.0004143202790990001
TAM,HMGB1,HAVCR2,TAM,0.07474429087012036,-0.021096963713679084,0.010629535754212716,0.20816062788608525,0.2776235213415199,-0.04992824388378303,0.418490939102905,-0.0018742511323631415
TAM,TGFB1,ITGAV,TAM,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.20310839590562565,-0.004055247779731422
TAM,ADAM9,ITGAV,TAM,0.051349860522292734,0.026937988662599218,-0.038450670311148134,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.07624803264288194,-0.004504411676931719
TAM,CALR,ITGAV,TAM,0.06143638398133988,-0.05373126950534357,-0.04494314893341908,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.09340059628287634,-0.0068764024290592154
TAM,TGFB1,ENG,TAM,0.16118579691415413,0.2103821220012848,-0.03160839882255298,0.07487667649052032,0.06393614270550074,-0.008141683535970196,0.1970444935647476,-0.007759793161761536
TAM,LGALS3BP,ITGB1,TAM,0.28851554743030056,0.4319278751423937,-0.014596631529701087,0.0056610612913902125,-0.10449796781478504,-0.042006553277333575,0.37886911992297406,-0.010044524588179041
TAM,C3,NRP1,TAM,0.3472285700776977,0.5650836797890206,0.07416528921163176,-0.04903941624245478,-0.14509761880222127,-0.11488132284008035,0.1968395884486271,-0.010232203204408735
TAM,HBEGF,CD9,TAM,0.16435989976517307,0.16966999925050952,0.014058858733695112,0.08006493199476761,0.012345944824888822,-0.03712626810909611,0.2463820561446548,-0.010255751598375816
TAM,SPP1,ITGAV,TAM,0.0023514207813902788,-0.13824009416839078,-0.07568457356493241,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.020184329002797985,-0.011228897821681771
TAM,CCL4,CCR1,TAM,0.027539361081779568,-0.0286984073278459,0.08018125537507388,0.1059400167058045,0.12622800949791185,-0.19558403091468213,0.0902933552211994,-0.011713294130513752
TAM,LRPAP1,SORL1,TAM,0.08497896014247219,0.03071937409199088,-0.042634086580555314,0.09472821547335741,0.09136459230151106,0.012927320697768585,0.1261355080267893,-0.012103953858191976
TAM,OSM,IL6ST,TAM,0.1614095916534018,0.2057363756405292,0.02149486416735646,-0.004709145639942597,-0.044132835503387535,-0.027116611392376918,0.04046059413301273,-0.01283845333745342
TAM,GRN,TNFRSF1B,TAM,0.06204787946604473,-0.06709339875971176,-0.06757534565241077,0.1677893177412491,0.2106765323814553,0.022957883097182108,0.3117616673477088,-0.013781347961856684
TAM,ANXA1,FPR3,TAM,-0.10888402074041392,-0.3711652288283309,-0.048021446749773405,0.29288427290350033,0.4295587314836044,0.10392288200539612,0.2068723955691778,-0.0160703944434468
TAM,HBEGF,CD82,TAM,0.16435989976517307,0.16966999925050952,0.014058858733695112,0.02034325700146572,-0.03866972958373693,-0.05742836044355293,0.03433589145478433,-0.01781548606344064
TAM,GRN,TNFRSF1A,TAM,0.06204787946604473,-0.06709339875971176,-0.06757534565241077,0.1352602795858221,0.1565642353998452,-0.02503607345812928,0.2245356332640529,-0.0178644656686573
TAM,FN1,ITGAV,TAM,0.02660950970039877,-0.09635548892698087,-0.1091316512587976,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.04268970543355111,-0.019112851402012836
