Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,GNAI2,EDNRA,CAF,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.0763155845060896,0.08736400885928662,-0.029918723186716963,0.2467070784205101,0.03755332243559883
TIL,ITGB2,THY1,CAF,0.181438127090301,0.24052133893319286,0.08048709453854369,0.060707302175526,0.07739848247480685,-0.07913114234701424,0.4019769618359181,0.0314656137888487
TIL,LTB,TNFRSF1A,CAF,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.11948585928564687,0.19782541268739084,-0.027063208718916487,0.5589177656489596,0.017901906920323632
TIL,GNAI2,F2R,CAF,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.11145112957641401,0.17303866926858025,-0.0742994105035214,0.3450515295879813,0.014539225226865312
TIL,GNAI2,CAV1,CAF,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.07427205758769517,0.1013955947213292,0.0329751469270424,0.31156545090512777,0.014239885564582541
TIL,LTB,LTBR,CAF,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.0600514058727315,0.06661728078393353,-0.028766376236058905,0.2590499743098523,0.013304197504572124
TIL,LGALS1,ITGB1,CAF,0.44035674470457076,0.6449397867140664,0.059990001472559534,0.007807215679201063,-0.014477408089263122,-0.0401971003797518,0.9851773649642122,0.008202841582755705
TIL,TIMP1,CD63,CAF,0.2728539576365664,0.3955070069896453,0.04086115719324157,0.023886923477398403,0.03177941888809665,-0.03738068604776512,0.7106108326469709,0.004456777992605849
TIL,VIM,CD44,CAF,0.1839464882943146,-0.03288803459782685,0.009022949546371395,0.04562168721125187,0.05389626170233741,-0.003962097456264704,0.07299342756390126,0.00023666190179457734
TIL,TGFB1,TGFBR2,CAF,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.01794081355737659,0.004405139342160913,-0.03388114888532881,0.06680596046109971,-0.01304586281114915
TIL,TGFB1,ENG,CAF,0.1379598662207358,0.11435252066432774,-0.04802979935330279,-0.0022997364116733032,-0.02127139455685967,-0.03802478050861072,0.07651172042133703,-0.01811188947237137
TIL,TGFB1,SDC2,CAF,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.025333994695438622,-0.004647549280959007,0.009003614099345136,0.11714489027008546,-0.01980744446134726
TIL,TGFB1,VASN,CAF,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.015401265059994007,0.004455137009748422,-0.1560899930135181,0.06011064681944805,-0.05189766284336088
