Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
TIL,CD2,CD48,TAM,0.08305462653288742,-0.20517413504498985,-0.2004225541472754,0.3982254022789237,0.6359559748217714,0.14603621191925492,0.9074214361764028,0.07139925888846149
TIL,GNAI2,FPR1,TAM,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.10651053568895691,0.1283102322605041,0.13765507726357662,0.2782448256675017,0.046782716762774366
TIL,CD99,PILRA,TAM,0.18506131549609806,0.10208565608612696,0.035791299994716794,0.08554632708704357,0.07738125888896774,0.15301224148791204,0.1935119929273628,0.04662553219995594
TIL,GNAI2,C5AR1,TAM,0.2150222965440357,0.25892548443413393,0.056850058650743475,0.10064459188980479,0.06474054057407397,0.01637149967747586,0.3645424203678571,0.045239842153609724
TIL,LTB,CD40,TAM,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.10301492490268083,0.138672945621391,0.0024742731845407147,0.3714548513129616,0.03546356219574075
TIL,LGALS1,PTPRC,TAM,0.44035674470457076,0.6449397867140664,0.059990001472559534,0.16273344785740174,0.1905570176953042,0.07380833764830302,1.000456947814603,0.026030552745994376
TIL,LTB,LTBR,TAM,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.07158279617342508,0.07558635062174368,-0.019017953738129284,0.24949956349376834,0.014619715570920844
TIL,LTB,TNFRSF1A,TAM,0.2813545150501672,0.3229351261161557,0.14930818177503458,0.1352602795858221,0.1565642353998452,-0.02503607345812928,0.456978834790933,0.013945790941415044
TIL,CD47,SIRPA,TAM,0.0699554069119287,-0.10049412035125482,0.011524500120677685,0.19267781437644793,0.2532218848384886,0.033415553464977044,0.173814058387737,0.011480908616172623
TIL,CD6,ALCAM,TAM,0.027452619843924164,-0.01583788302656519,0.013502854562465584,0.09023656049550038,0.10256808433644538,0.004445326544446793,0.056465511968017974,0.008295661858850722
TIL,ANXA2,TLR2,TAM,0.25306577480490533,0.2990595526885703,0.02819820406008426,0.011829600794313666,-0.025109326936219808,-0.07160389020455682,0.10488293182763536,0.008046702920368042
TIL,MIF,CXCR4,TAM,0.1467391304347826,0.021162677400505148,0.01425240079413939,0.0988384737829191,0.027360080169064997,0.03259840496690919,0.06142080416709916,0.007275580890531356
TIL,LGALS1,ITGB1,TAM,0.44035674470457076,0.6449397867140664,0.059990001472559534,0.0056610612913902125,-0.10449796781478504,-0.042006553277333575,0.589758927018629,0.004453199219079138
TIL,TIMP1,CD63,TAM,0.2728539576365664,0.3955070069896453,0.04086115719324157,0.029499929079131793,-0.14358510934251,-0.05639269106422051,0.5918569329123862,0.003312717670217369
TIL,TGFB1,TGFBR2,TAM,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.15193771571764028,0.2234441140223397,0.0261690131684718,0.2333375530717749,-0.0016914671102760614
TIL,CALR,ITGAV,TAM,0.14687848383500557,0.03224600392717214,-0.023266904534767995,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.10883249158217867,-0.003209204158153168
TIL,TGFB1,TGFBR1,TAM,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.1694725063434777,0.2346214184289458,0.05932136117428378,0.2522246913500856,-0.005459533741981985
TIL,HMGB1,HAVCR2,TAM,0.13085284280936438,-0.1432914565426071,0.0018299514718911887,0.20816062788608525,0.2776235213415199,-0.04992824388378303,0.3638856415463807,-0.007018536972286285
TIL,TGFB1,ITGAV,TAM,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.07798458653133922,0.08128337995882495,0.011733015638220018,0.1366257027182124,-0.007462514715285945
TIL,TGFB1,ENG,TAM,0.1379598662207358,0.11435252066432774,-0.04802979935330279,0.07487667649052032,0.06393614270550074,-0.008141683535970196,0.12773245067687194,-0.010888807311589574
