Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
CAF,A2M,LRP1,CAF,0.6368876080691642,1.1131146127282743,0.2710059139434488,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.0978203444642092,0.09002393901413319
CAF,A2M,LRP1,EMT,0.6368876080691642,1.1131146127282743,0.2710059139434488,0.4342105263157895,0.6508121804523175,0.2192015018118823,0.7244285482030253,0.0594049033363057
CAF,A2M,LRP1,ETC,0.6368876080691642,1.1131146127282743,0.2710059139434488,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.3383616015996021,0.02774647449441585
CAF,A2M,LRP1,TAM,0.6368876080691642,1.1131146127282743,0.2710059139434488,0.418212478920742,0.6945433988483685,0.2339307110006463,0.7731064064320812,0.06339660613417092
Endo,A2M,LRP1,CAF,0.9272727272727272,1.532895543714301,0.3732084306987209,0.5936599423631124,0.9862599339823792,0.3321844077281599,1.511833457745549,0.1239740215108106
Endo,A2M,LRP1,EMT,0.9272727272727272,1.532895543714301,0.3732084306987209,0.4342105263157895,0.6508121804523175,0.2192015018118823,0.9976270912103448,0.08180784849801542
Endo,A2M,LRP1,ETC,0.9272727272727272,1.532895543714301,0.3732084306987209,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.4659654857865732,0.0382103034313999
Endo,A2M,LRP1,TAM,0.9272727272727272,1.532895543714301,0.3732084306987209,0.418212478920742,0.6945433988483685,0.2339307110006463,1.064662481010848,0.0873049135447872
TAM,A2M,LRP1,CAF,0.5193929173693086,0.8697115104958725,0.2117454573625366,0.5936599423631124,0.9862599339823792,0.3321844077281599,0.8577616169253744,0.07033853934310254
TAM,A2M,LRP1,EMT,0.5193929173693086,0.8697115104958725,0.2117454573625366,0.4342105263157895,0.6508121804523175,0.2192015018118823,0.5660188445102974,0.0464149222557119
TAM,A2M,LRP1,ETC,0.5193929173693086,0.8697115104958725,0.2117454573625366,0.2084257206208426,0.3039773242849346,0.1023832804630446,0.2643725778603441,0.02167919454792424
TAM,A2M,LRP1,TAM,0.5193929173693086,0.8697115104958725,0.2117454573625366,0.418212478920742,0.6945433988483685,0.2339307110006463,0.6040523885173518,0.04953376539197521
CAF,ADAM12,ITGB1,CAF,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.8876080691642652,1.549443807201967,0.1945873481682883,0.645140861036371,0.07325041068551386
CAF,ADAM12,ITGB1,DC,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.3125,0.5570635223662425,0.06995898339435787,0.231944158801279,0.02633534149581929
CAF,ADAM12,ITGB1,EMT,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.7985829959514169,1.250511680663727,0.1570458706942354,0.5206746954291303,0.059118306678746325
CAF,ADAM12,ITGB1,ETC,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.6851441241685144,1.239740618484833,0.1556931837386939,0.51618995561729,0.058609101553361374
CAF,ADAM12,ITGB1,Endo,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.7636363636363637,1.171465771099528,0.1471188673049199,0.4877624039858282,0.05538138810727284
CAF,ADAM12,ITGB1,TAM,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.6374367622259697,1.072474393807762,0.1346870065887084,0.4465454317507959,0.05070154169577834
CAF,ADAM12,ITGB1,TIL,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.4671731578561291,0.05304364944306419
CAF,ADAM12,SDC4,EMT,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.6852226720647774,1.038304147874873,0.3227649054319376,0.4323179897612878,0.1215015369720399
CAF,ADAM12,SDC4,ETC,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.6230598669623061,1.079418186206374,0.3355455234436757,0.4494366138550298,0.1263126694890668
CAF,ADAM12,SDC4,TAM,0.2680115273775216,0.4163693178401777,0.3764397396595562,0.2344013490725126,0.3889928995663685,0.1209214628480562,0.1619647082371216,0.045519643993774984
EMT,ADAM15,ITGA5,CAF,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.1401781854510641,0.019926178001146967
EMT,ADAM15,ITGA5,EMT,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.6204453441295547,0.9290864307372022,0.3099105262447445,0.41899023700768395,0.0595590106726873
EMT,ADAM15,ITGA5,Endo,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.6727272727272727,1.05955833805485,0.3534313614644389,0.4778291712137188,0.067922901763263
EMT,ADAM15,ITGA5,TAM,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.2209106239460371,0.3696206565514932,0.12329243910268901,0.1666878789399208,0.023694502362851682
ETC,ADAM15,ITGA5,CAF,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.143715541462228,0.02042900934616024
ETC,ADAM15,ITGA5,EMT,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.6204453441295547,0.9290864307372022,0.3099105262447445,0.4295633345886589,0.06106196509989774
ETC,ADAM15,ITGA5,Endo,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.6727272727272727,1.05955833805485,0.3534313614644389,0.4898870523003044,0.06963691656574345
ETC,ADAM15,ITGA5,TAM,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.2209106239460371,0.3696206565514932,0.12329243910268901,0.1708941994073956,0.024292426284430967
Endo,ADAM15,ITGA5,CAF,0.6,0.9240262375403664,0.3937745687308601,0.2046109510086455,0.3108369562929895,0.1036842660855985,0.2872215032119105,0.04082822716203228
Endo,ADAM15,ITGA5,EMT,0.6,0.9240262375403664,0.3937745687308601,0.6204453441295547,0.9290864307372022,0.3099105262447445,0.8585002389439053,0.1220348838171782
Endo,ADAM15,ITGA5,Endo,0.6,0.9240262375403664,0.3937745687308601,0.6727272727272727,1.05955833805485,0.3534313614644389,0.979059704567347,0.1391722819366202
Endo,ADAM15,ITGA5,TAM,0.6,0.9240262375403664,0.3937745687308601,0.2209106239460371,0.3696206565514932,0.12329243910268901,0.3415391845904763,0.048549427035437215
EMT,ADAM15,ITGAV,CAF,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.3075540873898158,0.039418954685849564
EMT,ADAM15,ITGAV,EMT,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.4261133603238866,0.6122772375630366,0.184148570957978,0.2761187510589207,0.03538991345645627
EMT,ADAM15,ITGAV,ETC,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.2917029649285473,0.03738732934370727
EMT,ADAM15,ITGAV,Endo,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.3636363636363636,0.5118900670127351,0.1539561142321151,0.2308471347809526,0.02958748759451506
EMT,ADAM15,ITGAV,TAM,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.4013490725126476,0.6809681141291579,0.2048080467337695,0.3070962852264018,0.039360278558707634
ETC,ADAM15,ITGAV,CAF,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.3153151259300541,0.04041368061886903
ETC,ADAM15,ITGAV,EMT,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.4261133603238866,0.6122772375630366,0.184148570957978,0.2830865279687902,0.036282967698076964
ETC,ADAM15,ITGAV,ETC,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.2990640049730023,0.038330787798171964
ETC,ADAM15,ITGAV,Endo,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.3636363636363636,0.5118900670127351,0.1539561142321151,0.2366724955334102,0.03033411929588083
ETC,ADAM15,ITGAV,TAM,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.4013490725126476,0.6809681141291579,0.2048080467337695,0.3148457712613094,0.04035352381661073
Endo,ADAM15,ITGAV,CAF,0.6,0.9240262375403664,0.3937745687308601,0.4409221902017291,0.6819832637446425,0.2051133632465049,0.6301704292634615,0.08076842615332873
Endo,ADAM15,ITGAV,EMT,0.6,0.9240262375403664,0.3937745687308601,0.4261133603238866,0.6122772375630366,0.184148570957978,0.5657602321569819,0.07251302411138197
Endo,ADAM15,ITGAV,ETC,0.6,0.9240262375403664,0.3937745687308601,0.3858093126385809,0.6468343235309157,0.1945419640274072,0.5976918862842402,0.07660567798494679
Endo,ADAM15,ITGAV,Endo,0.6,0.9240262375403664,0.3937745687308601,0.3636363636363636,0.5118900670127351,0.1539561142321151,0.4729998526560637,0.06062400248523017
Endo,ADAM15,ITGAV,TAM,0.6,0.9240262375403664,0.3937745687308601,0.4013490725126476,0.6809681141291579,0.2048080467337695,0.6292324043837246,0.08064820027519994
EMT,ADAM15,ITGB1,CAF,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.8876080691642652,1.549443807201967,0.1945873481682883,0.6987528894319534,0.0373960513273193
EMT,ADAM15,ITGB1,DC,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.3125,0.5570635223662425,0.06995898339435787,0.2512190142303208,0.01344480901995685
EMT,ADAM15,ITGB1,EMT,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.7985829959514169,1.250511680663727,0.1570458706942354,0.5639434267126601,0.03018128103655549
EMT,ADAM15,ITGB1,ETC,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.6851441241685144,1.239740618484833,0.1556931837386939,0.5590859993024045,0.0299213198864838
EMT,ADAM15,ITGB1,Endo,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.7636363636363637,1.171465771099528,0.1471188673049199,0.5282960818725114,0.028273496528632286
EMT,ADAM15,ITGB1,TAM,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.6374367622259697,1.072474393807762,0.1346870065887084,0.4836539266746535,0.0258843252602338
EMT,ADAM15,ITGB1,TIL,0.3259109311740891,0.4509701392100063,0.1921813092132662,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.5059958431289266,0.0270800261540847
ETC,ADAM15,ITGB1,CAF,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.8876080691642652,1.549443807201967,0.1945873481682883,0.7163857167209976,0.038339729878520586
ETC,ADAM15,ITGB1,DC,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.3125,0.5570635223662425,0.06995898339435787,0.2575584534750706,0.013784084891253509
ETC,ADAM15,ITGB1,EMT,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.7985829959514169,1.250511680663727,0.1570458706942354,0.5781743761576061,0.03094289694387907
ETC,ADAM15,ITGB1,ETC,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.6851441241685144,1.239740618484833,0.1556931837386939,0.5731943729700057,0.03067637574929035
ETC,ADAM15,ITGB1,Endo,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.7636363636363637,1.171465771099528,0.1471188673049199,0.5416274808692435,0.028986970045073918
ETC,ADAM15,ITGB1,TAM,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.6374367622259697,1.072474393807762,0.1346870065887084,0.4958587937824735,0.0265375087299697
ETC,ADAM15,ITGB1,TIL,0.32815964523281604,0.4623502403837856,0.1970309490284157,0.5961538461538461,1.1220162914008291,0.1409087401107962,0.5187645020436968,0.02776338279042857
Endo,ADAM15,ITGB1,CAF,0.6,0.9240262375403664,0.3937745687308601,0.8876080691642652,1.549443807201967,0.1945873481682883,1.4317267314490552,0.07662354910544944
Endo,ADAM15,ITGB1,DC,0.6,0.9240262375403664,0.3937745687308601,0.3125,0.5570635223662425,0.06995898339435787,0.5147413106430628,0.027548068514962682
Endo,ADAM15,ITGB1,EMT,0.6,0.9240262375403664,0.3937745687308601,0.7985829959514169,1.250511680663727,0.1570458706942354,1.155505603283984,0.06184067000358497
Endo,ADAM15,ITGB1,ETC,0.6,0.9240262375403664,0.3937745687308601,0.6851441241685144,1.239740618484833,0.1556931837386939,1.145552859224507,0.06130801628103875
Endo,ADAM15,ITGB1,Endo,0.6,0.9240262375403664,0.3937745687308601,0.7636363636363637,1.171465771099528,0.1471188673049199,1.0824651088764208,0.057931668525167464
Endo,ADAM15,ITGB1,TAM,0.6,0.9240262375403664,0.3937745687308601,0.6374367622259697,1.072474393807762,0.1346870065887084,0.9909944789685716,0.053036317933119186
