LR,pval,hr,median_day_high,median_day_low,diff_day
WNT2->FZD8,7.021950206842487e-5,3.8055625469265792,540,345.5,194.5
CNTN1->PTPRZ1,8.658731876254322e-5,3.5227414473067835,626,337.5,288.5
RELN->ITGA3,1.5519847533995712e-4,0.23851972786941192,332,590.5,-258.5
IL31->IL31RA,4.166368575940771e-4,0.3497470015416656,343,547.5,-204.5
SEMA3A->PLXNA1,0.00046044630542241283,0.3321820887626188,343,583,-240
FGA->ITGA2B,5.558365064169957e-4,0.29275202325995925,337,546,-209
SEMA4B->DCBLD2,7.267549034982723e-4,0.2978483986487667,332,547.5,-215.5
CXCL14->CXCR4,7.4963162554742e-4,3.47573792783161,429,373.5,55.5
PLG->ITGA9,9.194453791763202e-4,2.4433389786492707,540,356,184
SELPLG->SIGLEC5,0.0010816058740380496,2.376103480742662,555,309.5,245.5
DKK1->KREMEN2,0.0013022476061077537,0.33709871311330675,343,547.5,-204.5
HAS2->HMMR,0.0013116833557471619,0.46462315044055325,287,519.5,-232.5
ADAM15->ITGA9,0.0014617919669601687,3.2592160509718977,540,345.5,194.5
LAMA5->BCAM,0.001596080435135705,0.3513413445615019,361,538.5,-177.5
ANGPT1->TEK,0.001630757649183634,3.1106075815499588,427,394,33
LTF->LRP1,0.0017818846810632172,2.7621549727540757,537,345.5,191.5
DKK1->KREMEN1,0.002165475141305939,0.3390728125694065,343,547.5,-204.5
EREG->ERBB4,0.0022019144053473383,0.3953070896130284,343,446,-103
ANGPTL1->TEK,0.0023156490088658277,2.802687886405358,465,355,110
GDF5->ROR2,0.0030998583339688635,2.276782279032524,451,353.5,97.5
CCL5->GPR75,0.0035887183015949065,0.45761692830818285,332,538.5,-206.5
FGG->ITGA2B,0.0036401013785989367,0.323055057669834,348,546,-198
LTBP1->ITGB5,0.003959671633849027,2.454070848422606,427,360,67
C4BPA->LRP1,0.004126728935841761,2.4828640339527652,429,349.5,79.5
SERPING1->LRP1,0.004126728935841761,2.4828640339527652,429,349.5,79.5
DCN->TLR4,0.004534142352062287,2.110334896973624,427,360,67
NTF3->NTRK3,0.004809837176317333,2.0901424124952186,455,400,55
IL20->IL20RB,0.005292856426479031,0.3887214384571895,332,546,-214
IL26->IL20RB,0.005292856426479031,0.3887214384571895,332,546,-214
TFF3->CXCR4,0.005310318846676432,2.399287228533643,499,349.5,149.5
GDNF->RET,0.005324957020505061,2.1944986846099663,429,385.5,43.5
PTMA->VIPR1,0.005930360065162121,2.221902917627985,429,390,39
