LR,pval,hr,median_day_low,median_day_high,diff_day
WNT3A->RYK,1.5188141238287045e-4,0.5422454349732976,668,371,-297
IL18->IL18R1,1.6945970575199532e-4,0.5485214796158142,709.5,389,-320.5
GZMB->CHRM3,2.227910689129864e-4,2.0751092350843554,449.5,631,181.5
WNT3->RYK,4.686827585986819e-4,0.5600347578157484,658,371,-287
SEMA4B->DCBLD2,5.830407880634825e-4,0.4992883678015507,643,383,-260
CXCL2->CXCR2,5.874169031163667e-4,2.1032930525266234,413,681,268
WNT5A->RYK,6.305529712942182e-4,0.48982877549033327,673,437,-236
AGT->AGTR1,6.498194701166637e-4,1.567071449048132,361,681,320
VEGFA->KDR,8.028830033686152e-4,0.5174992338718825,618,369,-249
NMB->GRPR,8.449951129398947e-4,0.5824420773843361,643,437,-206
VEGFA->FLT1,0.0011441702660088815,0.5237265066767054,618,369,-249
CCL3L1->CCR5,0.0012243381170573553,2.0097906666770804,440.5,627,186.5
CCL4L1->CCR5,0.0012243381170573553,2.0097906666770804,440.5,627,186.5
ICOSLG->CTLA4,0.0012503799178182895,1.8077471047809957,389,626,237
RSPO3->LGR5,0.0013438886978219822,1.6849360512087819,389,730,341
RSPO1->LGR5,0.0013438886978219822,1.6849360512087819,386,730,344
WNT7B->FZD10,0.0013459467967344985,0.5833795770150456,629.5,437,-192.5
VEGFA->GPC1,0.0016603912445298796,0.5163896479877385,589.5,371,-218.5
CCL14->CCR5,0.001938375256220648,1.7850000191231372,437,626,189
DKK1->LRP5,0.002087417718420137,1.7082139275127173,437,653,216
AGT->LRP2,0.002234907278098053,1.5830896416859874,369,677,308
SHH->SMO,0.002378124517908531,1.6668969085239709,440.5,633,192.5
SHH->BOC,0.0024129510264595533,1.7303688989824981,440.5,625,184.5
TGM2->ITGB3,0.002441845161447409,0.5650776006118509,642,456,-186
SEMA3A->PLXNA4,0.00249063646673231,0.6147198862580706,632,437,-195
FGF9->FGFR4,0.002723439994980148,1.706516052461674,381,633,252
CXCL2->XCR1,0.003151769430452811,1.8888195564050894,437,653,216
IL18->IL18RAP,0.0034773382467722103,0.6346400977847303,682.5,437,-245.5
IL18->IL1RAPL1,0.0035274009091733616,0.6349438036435773,682.5,437,-245.5
LAMC2->ITGA6,0.003698895166266314,0.5547359935040133,589.5,437,-152.5
BMP6->ACVR1,0.003700323159404939,1.599028274897799,463.5,628,164.5
GDF5->ACVR1,0.0037531418690502916,1.5981428522933523,463.5,628,164.5
FBN1->ITGB1,0.003810120183375787,0.5700018397079387,629.5,389,-240.5
ADAM9->ITGB5,0.004047455589514692,0.6586145408261866,678.5,375,-303.5
IL24->IL20RB,0.004345923961698972,0.6484980666596487,629.5,444,-185.5
FGF19->FGFR4,0.004747593480521228,1.6669698270310307,386,631,245
IL12A->IL12RB1,0.004793954873944073,1.689609951633929,413,633,220
WNT3->FZD8,0.00513759140095682,1.4366330389298216,384,627,243
PROS1->AXL,0.005169130975360536,0.6649944967240727,672,444,-228
ADAM17->ITGA5,0.005509614763258397,0.5306703515355667,630.5,389,-241.5
APOE->LRP1,0.0058315206549302,1.5435322329342136,456,631,175
ICOSLG->CD28,0.005986328998197399,1.6520169781969851,437,629,192
CNTF->IL6R,0.006009321014472047,1.590561831684985,440.5,663,222.5
ZG16B->CXCR4,0.006275976130017069,1.4995882693878948,365,608,243
IL19->IL20RB,0.006476142319705058,0.6553849781884503,629.5,456,-173.5
WNT7B->LRP5,0.006518147458316026,1.585225967862131,440.5,631,190.5
THBS1->ITGA3,0.006963048126228166,0.5287366455873621,643,446,-197
TGM2->SDC4,0.007235467802865214,0.573830136246136,639,456,-183
DKK2->LRP5,0.007443699009149429,1.5765180010066961,440.5,631,190.5
COL2A1->ITGA2,0.007723423894469006,0.5819170523945073,658,383,-275
CCL17->CCR4,0.008070899339035265,1.760351868209989,456,608,152
LAMC2->ITGB1,0.008104501058622704,0.543397334258106,629,446,-183
ADM->RAMP2,0.008198099393799896,0.5756198087780888,627.5,437,-190.5
ADM->RAMP3,0.008198099393799896,0.5756198087780888,627.5,437,-190.5
ADAM9->ITGA3,0.008369318810802828,0.6714486667782775,658,383,-275
LRPAP1->SORT1,0.008376825396776089,1.4773178651580283,386,631,245
MDK->LRP1,0.008457949752571525,1.5291335294579855,456,633,177
CXCL12->ITGA5,0.008665818239804168,0.6409101006106419,626,444,-182
CLCF1->CNTFR,0.009294139366821996,0.6165726892293585,677,437,-240
IL1A->IL1RAP,0.009352543575113392,0.6199217622208257,625,375,-250
CCL7->CCR5,0.009595395517341343,1.6999257835795927,459.5,625,165.5
LAMC2->ITGA3,0.00962106774071747,0.5806185935091505,632,444,-188
FGF20->FGFR4,0.009648859837987467,1.5495702642317857,386,631,245
SHH->PTCH1,0.009737447692909962,1.495954195008646,440.5,633,192.5
FGF18->FGFR4,0.009763184690589122,1.549162641424302,386,631,245
SERPING1->LRP1,0.00986907403407078,1.59165496371673,455.5,633,177.5
AMH->ACVR1,0.010011564025021569,1.4955908384920276,463.5,592,128.5
CORT->SSTR1,0.010191137609645518,1.6591309257490743,450.5,627,176.5
COL8A1->ITGA2,0.010241767107822208,0.5770039375894253,642,444,-198
SEMA3C->NRP2,0.010370596091170747,0.5932996382205545,658,444,-214
IL12B->IL12RB1,0.010596693065832996,1.6467927584832989,437,627,190
SLAMF6->SLAMF6,0.010916956234354402,1.7080656977928574,413,627,214
IL20->IL20RB,0.01091892246435866,0.6737167006928976,629.5,444,-185.5
IL26->IL20RB,0.01091892246435866,0.6737167006928976,629.5,444,-185.5
DKK2->KREMEN1,0.011037212645853556,1.7460049362420578,456,608,152
CD9->L1CAM,0.011071534834106944,0.6796759283655639,628,437,-191
L1CAM->CD9,0.011071534834106944,0.6796759283655639,628,437,-191
GDF3->TDGF1,0.011097935229609557,1.6342537159888397,450.5,628,177.5
FGF19->FGFR2,0.011317160503271806,1.6374330115004763,413,684,271
TIMP2->ITGA3,0.01197931580887146,0.6221115387270019,629,400,-229
FGF9->FGFR3,0.012066897077357974,1.6525953538083025,450.5,631,180.5
WNT16->LRP5,0.01213328963237792,1.494636244650772,440.5,631,190.5
SHH->PTCH2,0.012167905639278942,1.4668775675432155,450.5,633,182.5
FGF16->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF17->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF21->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF23->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
FGF5->FGFR4,0.01239074510814453,1.5400180214381516,386,631,245
C4BPA->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
LIPC->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
PDGFB->LRP1,0.012399332423551734,1.4646856957108771,456,631,175
HBEGF->CD9,0.012422794756301037,0.6543388538184348,629,455,-174
FGF2->FGFR4,0.012471445598302044,1.5905557251009108,416.5,627,210.5
DSC3->DSG4,0.012581460033656455,0.5522169477220962,642,456,-186
SLURP1->CHRNA7,0.01265702690032311,1.7003033109243875,437,690,253
ST6GAL1->CD22,0.013136551153787424,1.7541801899044278,449.5,663,213.5
DKK4->KREMEN1,0.013370202514724983,1.578947842032249,456,653,197
FGF1->FGFR4,0.013569785392893552,1.5369050399618212,386,631,245
PLAU->LRP2,0.013597507510233253,0.6533145073511057,630,389,-241
COL9A1->MAG,0.01362379713556261,1.6344975330971212,418.5,608,189.5
BDNF->SORT1,0.014043375545758519,1.4507370324409785,381,633,252
CEL->CXCR4,0.014057960097492606,1.66187796859087,437,633,196
FGA->ITGA5,0.014100032966708587,0.6485709487825696,627.5,446,-181.5
SOSTDC1->LRP5,0.014291366042097464,1.4994327332476358,444,610.5,166.5
