LR,pval_PAAD-US,pval_PACA-AU,pval_PACA-CA,hr_PAAD-US,hr_PACA-AU,hr_PACA-CA,median_day_low_PAAD-US,median_day_low_PACA-AU,median_day_low_PACA-CA,median_day_high_PAAD-US,median_day_high_PACA-AU,median_day_high_PACA-CA,diff_day_PAAD-US,diff_day_PACA-AU,diff_day_PACA-CA,meta_pval,meta_qval_BH,meta_qval_holm,meta_qval_storey
ICOSLG->CTLA4,1.76194962649312e-4,0.0903920076028778,0.0012503799178182895,3.1815796323565597,1.591192749495606,1.8077471047809957,165.5,417.5,389,216,413,626,50.5,-4.5,237,1.290150873742121e-4,0.007385926259669626,0.22771162921548435,0.0038261062484418705
ICAM4->ITGAL,2.2873388973643216e-4,0.4766673290729704,0.3118497288174733,2.848684265405544,0.8477814886343631,1.2302358859395843,185.5,428,493,181,392,539,-4.5,-36,46,0.08178241201296445,0.3571301659778247,1,0.18500292468611212
ICOSLG->CD28,2.53420855117481e-4,0.05566003035286382,0.005986328998197399,3.1172918377509706,1.645819171162849,1.6520169781969851,181,400,437,216,414,629,35,14,192,3.952902208606002e-5,0.004041718345820927,0.07028260126901471,0.0020937176020600157
SHH->SMO,2.819635565262102e-4,0.07933385649118707,0.002378124517908531,3.2929096224423624,1.905621003387309,1.6668969085239709,159.5,374.5,440.5,197,423,633,37.5,48.5,192.5,9.187430979964996e-5,0.0065929004712228815,0.16261752834538043,0.003415297797656261
CSF2->CSF2RB,3.8049029721998195e-4,0.3923244646831452,0.9806849373249067,2.828025183993732,0.8419532070668071,1.073801371086733,182,465.5,482.5,188,392,573,6,-73.5,90.5,0.40571894427557215,0.6880996511656184,1,0.3564539209186753
TNFSF13->TNFRSF17,5.325274869196761e-4,0.6120368436443192,0.269474941379666,3.5849750116993695,1.2024619457250012,1.267879765925717,153,413.5,456,334,412,587,181,-1.5,131,0.11437206474882809,0.4039044963767669,1,0.2092332719051598
ICAM5->ITGAL,5.866221607705446e-4,0.2609553480248089,0.3345171423692619,2.5849809773346504,0.7746050750025342,1.1942948911612479,185.5,452.5,469,181,361,573,-4.5,-91.5,104,0.035295289237307674,0.24353749573742298,1,0.12615890023961854
ICOS->ICOSLG,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,3.0403192945843145,1.591192749495606,1.221587727096644,165.5,417.5,467,216,413,576,50.5,-4.5,109,0.005015351593303744,0.08735476464453316,1,0.045252091489546974
ICOSLG->ICOS,6.467525804163543e-4,0.0903920076028778,0.22000217197058902,3.0403192945843145,1.591192749495606,1.221587727096644,165.5,417.5,467,216,413,576,50.5,-4.5,109,0.005015351593303744,0.08735476464453316,1,0.045252091489546974
NXPH3->NRXN2,6.667249153795574e-4,0.7152729565325522,0.46991535961322084,2.729196951501557,1.07674102371353,0.8547842700097718,156.5,440,575,202,351,512,45.5,-89,-63,0.2747252944331926,0.5802741541822078,1,0.3005974456107251
