PAAD-US,CCI,pval,hr,median_day_low,median_day_high,diff_day
PAAD-US,CAF->ETC,0.013207601325887608,0.4538881146875596,180,188,8
PAAD-US,CAF->CAF,0.03419397161785809,0.49793886365035517,173,194,21
PAAD-US,ETC->CAF,0.06586062276542826,1.523195167940314,181,194,13
PAAD-US,ETC->ETC,0.1825656113626889,1.3243269577338186,173,194,21
PAAD-US,DC->Endo,0.19919123693696927,0.6451263120890369,220.5,181,-39.5
PAAD-US,CAF->Endo,0.25540376570019974,0.8263487799649623,180,188,8
PAAD-US,TAM->CAF,0.32696982557669907,1.149921599603235,165.5,194,28.5
PAAD-US,CAF->TAM,0.34822804515275396,0.7421273388149455,187.5,183,-4.5
PAAD-US,TIL->TAM,0.3558883027207602,0.7044225744414274,180,188,8
PAAD-US,DC->ETC,0.3856529143524887,1.1170193082499982,199.5,181,-18.5
PAAD-US,DC->CAF,0.3856529143524887,1.1170193082499982,199.5,181,-18.5
PAAD-US,Endo->CAF,0.38918357095286504,1.1553920813809886,173,194,21
PAAD-US,TIL->Endo,0.3979421268774358,0.7178936997379266,173,194,21
PAAD-US,TAM->ETC,0.4033245696261264,0.7069710702147192,199.5,181,-18.5
PAAD-US,Endo->ETC,0.4509333523004412,1.0946029760218234,165.5,194,28.5
PAAD-US,TIL->ETC,0.47074854897320206,0.7551925152316346,189,183,-6
PAAD-US,EMT->Endo,0.47722796264652045,0.7635191534948621,180,188,8
PAAD-US,EMT->ETC,0.48764896825167625,0.7663718303063758,180,188,8
PAAD-US,EMT->TAM,0.4940776545549117,0.76829777185438,180,188,8
PAAD-US,EMT->CAF,0.49874655977290405,0.7484972747020819,171.5,194,22.5
PAAD-US,TAM->Endo,0.5102852470710505,0.7673681660200302,218,181,-37
PAAD-US,EMT->TIL,0.5127726275753575,0.77333104915383,180,188,8
PAAD-US,EMT->DC,0.5176157324712642,0.7534355087568952,167,194,27
PAAD-US,TIL->DC,0.5199957174114006,0.7750222279277942,173,194,21
PAAD-US,Endo->TAM,0.5230243365991853,0.8106408638683072,195.5,181,-14.5
