LR,pval,hr,median_day_low,median_day_high,diff_day
ICOSLG->CTLA4,1.76194962649312e-4,3.1815796323565584,165.5,216,50.5
ICAM4->ITGAL,2.2873388973643216e-4,2.8486842654055398,185.5,181,-4.5
ICOSLG->CD28,2.53420855117481e-4,3.1172918377509706,181,216,35
SHH->SMO,2.819635565262102e-4,3.2929096224423624,159.5,197,37.5
CSF2->CSF2RB,3.8049029721998195e-4,2.8280251839937316,182,188,6
TNFSF13->TNFRSF17,5.325274869196761e-4,3.5849750116993717,153,334,181
ICAM5->ITGAL,5.866221607705446e-4,2.584980977334654,185.5,181,-4.5
ICOS->ICOSLG,6.467525804163543e-4,3.04031929458431,165.5,216,50.5
ICOSLG->ICOS,6.467525804163543e-4,3.04031929458431,165.5,216,50.5
NXPH3->NRXN2,6.667249153795574e-4,2.7291969515015593,156.5,202,45.5
GDNF->GFRA2,8.825004360798472e-4,2.5535616426058114,195.5,164,-31.5
QRFP->P2RY14,0.0012625712067714234,2.5539092771327145,182,194,12
CCL22->ACKR2,0.0015885075561111739,2.2494310376514286,188.5,181,-7.5
IL20->IL20RB,0.0016927963156737613,0.35320363700549345,164,194,30
IL26->IL20RB,0.0016927963156737613,0.35320363700549345,164,194,30
TNFSF13->FAS,0.0017947395215340833,2.7986888847591036,162.5,247,84.5
DHH->PTCH2,0.001956439772643037,2.353081821159052,182,194,12
DKK4->KREMEN2,0.001986500191439755,3.0063663450190283,162.5,247,84.5
GRN->TNFRSF1B,0.002126488489775813,2.3288644263194334,158,202,44
IL19->IL20RB,0.0022049641700547795,0.3757634854310574,165.5,194,28.5
CORT->SSTR5,0.002307434173199341,2.8569106340478214,180,194,14
IL24->IL20RB,0.002342005459372354,0.3934592610919065,173,188,15
CCL21->CCR7,0.002480475357360956,2.235917543559073,182,194,12
TNFSF13->TNFRSF14,0.002504927842269411,2.517679205187654,172.5,239,66.5
ANGPT1->TIE1,0.0027457436581026506,2.302946718908386,181,194,13
RELN->LRP8,0.0027599376884970273,2.8951386000155868,195.5,181,-14.5
MMRN2->CLEC14A,0.002874232506110741,1.978048007335649,172.5,216,43.5
CCL26->CCR2,0.002909229920840195,2.1616235503879855,182,194,12
CXCL16->CXCR6,0.003141628796545559,2.8253586332665392,162.5,247,84.5
CD34->SELP,0.003178844273641346,2.234340967471952,191,179,-12
SEMA6B->PLXNA2,0.003201635008905024,2.8230883186973137,202,179,-23
LAMA1->ITGA7,0.0032117110285131423,2.7186470666541345,181,188,7
CSF2->CSF2RA,0.003297268086556837,2.0876736630702224,181,194,13
GDF3->TDGF1,0.003437375667842968,2.2876323013464614,185.5,181,-4.5
DSC3->DSG3,0.00344095406464473,0.46685840971270137,203.5,181,-22.5
CCL4L1->CCR5,0.003474069207266006,2.2267967439137513,192.5,181,-11.5
IL16->CD4,0.0035659836304200443,2.3300942626598573,185.5,181,-4.5
WNT3A->FZD8,0.003636482573472044,2.354814027585099,174,188,14
ICAM3->ITGAL,0.003688403038140331,2.2563339509567535,181,194,13
DHH->PTCH1,0.0040558651106400445,2.423962557122605,180,194,14
CSF2->CSF3R,0.004105775746884643,2.3577034173835627,188.5,181,-7.5
PNOC->OPRL1,0.004448694249813534,2.095796718491653,184.5,183,-1.5
APLN->APLNR,0.004870004907936654,1.7750501053914565,191,181,-10
SHH->BOC,0.004876827860276989,2.0352988334053506,182,194,12
CSF3->CSF3R,0.0049132356887260364,2.0884827743263745,194,181,-13
ANGPTL1->TEK,0.005276880516633553,2.0118148390630597,182,194,12
FGF7->FGFR2,0.005323952337377813,2.661929131788768,191,181,-10
SELPLG->SIGLEC5,0.005526436980074156,2.0359251039450803,164,202,38
DLL4->NOTCH4,0.005628614223523454,2.0252889369521423,187.5,183,-4.5
CCL21->CXCR3,0.005750460959138781,1.998302181226523,182,194,12
IHH->PTCH2,0.005767337810301698,2.461846706880947,162.5,240,77.5
SEMA4B->DCBLD2,0.005879323481788212,0.5069181557671729,231,181,-50
CCL21->CCR10,0.0059101427601099266,2.0634104911570827,185.5,181,-4.5
CCL21->ACKR4,0.0059101427601099266,2.0634104911570827,185.5,181,-4.5
CCL21->ACKR2,0.0059101427601099266,2.0634104911570827,185.5,181,-4.5
NTN1->NEO1,0.005921319113206369,2.4401400529558295,159,248,89
IL12B->IL23R,0.005957368177181288,2.137114969775588,181,194,13
DLL3->NOTCH1,0.0060519620393348905,2.7253375687747554,184.5,183,-1.5
SHH->PTCH2,0.006406630921387935,2.532036245750293,182,194,12
CSF2->IL3RA,0.006461395947836013,2.451535379998502,181,188,7
DEFB4A->CCR6,0.006479741217012891,2.0293569209631883,181,202,21
SEMA3C->NRP1,0.006657002496848863,0.4307676575899458,236,179,-57
SEMA4A->LILRB2,0.00670093905942426,2.1137871935124837,185.5,181,-4.5
CCL17->CCR8,0.007193864482339829,1.9166726520023685,231,161,-70
APOE->LRP1,0.007229722494163204,1.867041593398004,159.5,219,59.5
CCL24->CCR2,0.007231338005910248,2.0815207783438923,191,181,-10
GRN->SORT1,0.007254205406138414,2.0416109101793323,158,202,44
HGF->MET,0.007296467019084041,0.4171745571166947,160.5,239,78.5
CCL22->CCR4,0.007301337152127885,1.9034462553605556,192.5,179,-13.5
RPH3A->NRXN1,0.007386689814580905,2.310970857664877,181,194,13
CCL3L1->CCR5,0.007840655875721803,1.9590161777371975,210.5,179,-31.5
NCAM1->GFRA1,0.0078754409870887,2.140620526883543,180,202,22
CCL7->CCR5,0.008368996323390276,2.013888254050721,192.5,181,-11.5
ZG16B->CXCR4,0.008434379138963388,2.19100486253475,188.5,181,-7.5
DSC3->DSG4,0.008501736237178537,0.4351426157390969,247.5,164,-83.5
EDN3->EDNRB,0.008573989036163798,2.0031846242339397,174,202,28
SHH->GPC5,0.008775632559003266,2.5200694272085196,171.5,240,68.5
HSPG2->COL13A1,0.008775758162483105,2.201581884700697,159.5,219,59.5
EDN2->EDNRB,0.009165757490323112,2.0485040183979843,191,179,-12
SHH->LRP2,0.009182305759992349,2.6127331351610974,171.5,194,22.5
NODAL->TDGF1,0.009593844972336396,2.295142372080001,171.5,202,30.5
GDNF->GFRA1,0.010009521174265568,1.906955628803962,181,202,21
PSPN->GFRA1,0.010009521174265568,1.906955628803962,181,202,21
TAC3->TACR1,0.01004888522076286,2.040992401790831,195.5,160,-35.5
ZP3->EGFR,0.010478173433792315,0.48470522460662735,183.5,183,-0.5
FGF18->FGFR4,0.011005699982087669,2.361463792221811,181,216,35
PSAP->CD1B,0.011361871944893354,1.851445792791554,154,219,65
PSAP->GPR37L1,0.011361871944893354,1.851445792791554,154,219,65
EDN1->EDNRB,0.011472114067412664,1.7751136649591284,181,194,13
CD34->SELE,0.011745677503233853,1.9779664984994487,195.5,179,-16.5
NLGN1->NRXN1,0.01262657062254724,2.129504950743939,191,179,-12
MFNG->NOTCH1,0.012652536271478443,2.1601222900214783,181,194,13
IL10->IL10RA,0.012695952524089726,1.964829739357267,192.5,181,-11.5
IL22->IL10RA,0.012695952524089726,1.964829739357267,192.5,181,-11.5
